Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"78,2",78,"78,2","78,1","78,3",,,,"78,3",78,"0,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"75,6","75,2","75,7","76,5","76,8",,,,"76,8","75,2","1,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"75,9","75,7","75,9","76,2",75,,,,"76,2",75,"1,2"
УЗЕ Бар БЕСС,2.2,✓ OK,"77,7","77,7","77,5","76,6","77,9",,,,"77,9","76,6","1,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"76,5","76,6","77,4","76,4","77,7",,,,"77,7","76,4","1,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"78,3","77,9","77,7","78,3","78,3",,,,"78,3","77,7","0,6"
УЗЕ Бар БЕСС,4.1,✓ OK,"78,3","78,5","77,3","77,7","78,1",,,,"78,5","77,3","1,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"76,4","76,8","76,2","77,5","77,4",,,,"77,5","76,2","1,3"
УЗЕ Бар БЕСС,5.1,✓ OK,"78,7","78,9","77,7","78,4",78,,,,"78,9","77,7","1,2"
УЗЕ Бар БЕСС,5.2,✓ OK,"77,3","77,5",78,"79,5","77,4",,,,"79,5","77,3","2,2"
УЗЕ Бар БЕСС,6.1,✓ OK,"77,7","77,1","77,9","77,5","77,4",,,,"77,9","77,1","0,8"
УЗЕ Бар БЕСС,6.2,✓ OK,"75,7","76,1","75,8","76,4","76,8",,,,"76,8","75,7","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"77,3","77,7","77,8","77,6","77,3",,,,"77,8","77,3","0,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"78,2","78,1","78,1","77,7","77,5",,,,"78,2","77,5","0,7"
УЗЕ Бар БЕСС,8.1,✓ OK,"75,1","75,9","75,7","75,9","75,3",,,,"75,9","75,1","0,8"
УЗЕ Бар БЕСС,8.2,✓ OK,"76,2","76,2","76,2","76,5","74,8",,,,"76,5","74,8","1,7"
УЗЕ Бар БЕСС,9.1,✓ OK,"75,2",76,76,"76,4",76,,,,"76,4","75,2","1,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"78,3","78,4","78,6","78,6","78,3",,,,"78,6","78,3","0,3"
УЗЕ Бар БЕСС,10.1,❌ ERROR,N/A
УЗЕ Бар БЕСС,10.2,❌ ERROR,N/A
УЗЕ Бар БЕСС,11.1,✓ OK,28,28,28,,,,,,28,28,0
УЗЕ Бар БЕСС,11.2,✓ OK,29,29,29,,,,,,29,29,0
УЗЕ Бар БЕСС,12.1,✓ OK,29,28,29,,,,,,29,28,1
УЗЕ Бар БЕСС,12.2,✓ OK,28,28,30,,,,,,30,28,2
УЗЕ Бар БЕСС,13.1,✓ OK,29,29,28,,,,,,29,28,1
УЗЕ Бар БЕСС,13.2,✓ OK,28,28,28,,,,,,28,28,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"80,1","80,9","80,5","80,1","80,1",,,,"80,9","80,1","0,8"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"79,8","80,2","79,4","80,2","79,4",,,,"80,2","79,4","0,8"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"79,9","79,6","79,9","80,4","79,5",,,,"80,4","79,5","0,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"80,3","79,9","80,3","79,9","79,9",,,,"80,3","79,9","0,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,3","83,1","82,4","82,8","81,9",,,,"88,3","81,9","6,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"80,5","80,1","80,1","80,5","80,5",,,,"80,5","80,1","0,4"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"83,8","80,1","82,2","82,8","78,4",,,,"83,8","78,4","5,4"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"80,4","77,7","83,6","82,6","82,6",,,,"83,6","77,7","5,9"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"81,8","79,9","83,9","80,1","81,9",,,,"83,9","79,9",4
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"79,7","80,9","78,8","79,4","81,5",,,,"81,5","78,8","2,7"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"82,7",80,"79,5","85,7","78,8",,,,"85,7","78,8","6,9"
