Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"76,3","76,2","76,4","76,3",76,,,,"76,4",76,"0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,75,"74,6","74,9","75,5","75,5",,,,"75,5","74,6","0,9"
УЗЕ Бар БЕСС,2.1,✓ OK,"75,2","74,8","75,2","75,2","74,8",,,,"75,2","74,8","0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"76,3","76,1","76,1","75,4","76,3",,,,"76,3","75,4","0,9"
УЗЕ Бар БЕСС,3.1,✓ OK,"75,5","75,5","75,7","75,6","75,8",,,,"75,8","75,5","0,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"76,9","76,3","76,4","76,8","76,8",,,,"76,9","76,3","0,6"
УЗЕ Бар БЕСС,4.1,✓ OK,"76,6","77,2",76,"76,5","76,8",,,,"77,2",76,"1,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"74,4","74,7","74,4","75,8","75,3",,,,"75,8","74,4","1,4"
УЗЕ Бар БЕСС,5.1,✓ OK,77,"77,4","76,5","76,7","76,4",,,,"77,4","76,4",1
УЗЕ Бар БЕСС,5.2,✓ OK,"75,3","75,6","75,6","76,8","75,6",,,,"76,8","75,3","1,5"
УЗЕ Бар БЕСС,6.1,✓ OK,"76,4","75,5","75,9","75,9","75,6",,,,"76,4","75,5","0,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"74,8","75,2","75,2","75,6","75,5",,,,"75,6","74,8","0,8"
УЗЕ Бар БЕСС,7.1,✓ OK,76,"76,2","76,1","76,1","75,8",,,,"76,2","75,8","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"76,1","76,4","76,5","75,9","76,5",,,,"76,5","75,9","0,6"
УЗЕ Бар БЕСС,8.1,✓ OK,75,"74,5",75,"74,9","74,5",,,,75,"74,5","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"75,4",75,75,"75,4","74,4",,,,"75,4","74,4",1
УЗЕ Бар БЕСС,9.1,✓ OK,"74,4","75,2","74,9",75,"74,6",,,,"75,2","74,4","0,8"
УЗЕ Бар БЕСС,9.2,✓ OK,"76,8","76,9","76,5","76,8","77,1",,,,"77,1","76,5","0,6"
УЗЕ Бар БЕСС,10.1,✓ OK,27,26,27,,,,,,27,26,1
УЗЕ Бар БЕСС,10.2,✓ OK,26,25,26,,,,,,26,25,1
УЗЕ Бар БЕСС,11.1,✓ OK,25,26,28,,,,,,28,25,3
УЗЕ Бар БЕСС,11.2,✓ OK,25,25,25,,,,,,25,25,0
УЗЕ Бар БЕСС,12.1,✓ OK,25,25,26,,,,,,26,25,1
УЗЕ Бар БЕСС,12.2,✓ OK,25,25,25,,,,,,25,25,0
УЗЕ Бар БЕСС,13.1,✓ OK,26,25,26,,,,,,26,25,1
УЗЕ Бар БЕСС,13.2,✓ OK,26,26,26,,,,,,26,26,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"81,7",85,"82,4",81,"81,8",,,,85,81,4
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"81,2","83,5","78,5","80,8","80,7",,,,"83,5","78,5",5
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"81,1","80,7","80,9","81,4","81,1",,,,"81,4","80,7","0,7"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"83,8","80,7","84,1","79,9","80,6",,,,"84,1","79,9","4,2"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,84,83,"77,2","80,3","76,9",,,,84,"76,9","7,1"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,5","79,8","82,4","82,9","83,1",,,,"88,5","79,8","8,7"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"85,8",83,"84,9","85,5",82,,,,"85,8",82,"3,8"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"83,3","80,7","85,9",85,85,,,,"85,9","80,7","5,2"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"84,3","82,8","86,1","83,2","84,3",,,,"86,1","82,8","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"82,8",83,"81,8","82,1","83,7",,,,"83,7","81,8","1,9"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"84,9","82,8","82,1","86,8",82,,,,"86,8",82,"4,8"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"83,3","82,4","81,8","81,1","83,1",,,,"83,3","81,1","2,2"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,47,46,,,,,,47,46,1
