Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"86,5","85,4","86,6","86,4","86,1",,,,"86,6","85,4","1,2"
УЗЕ Бар БЕСС,1.2,✓ OK,"84,3","83,7","84,1","85,2","85,4",,,,"85,4","83,7","1,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"84,8","84,5","84,9",86,"83,7",,,,86,"83,7","2,3"
УЗЕ Бар БЕСС,2.2,✓ OK,"86,6","85,9","85,8","84,6","86,3",,,,"86,6","84,6",2
УЗЕ Бар БЕСС,3.1,✓ OK,"84,1","84,5",85,"83,9","85,2",,,,"85,2","83,9","1,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"86,5","86,1","85,9","86,7","86,3",,,,"86,7","85,9","0,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"85,9","86,6","84,9","85,4","86,1",,,,"86,6","84,9","1,7"
УЗЕ Бар БЕСС,4.2,✓ OK,"83,9","84,3","83,5","85,3","85,5",,,,"85,5","83,5",2
УЗЕ Бар БЕСС,5.1,✓ OK,"86,5","86,8","84,9",86,"85,6",,,,"86,8","84,9","1,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"84,8","85,2","85,7","88,8","84,7",,,,"88,8","84,7","4,1"
УЗЕ Бар БЕСС,6.1,✓ OK,"85,9",85,"86,9","86,5",86,,,,"86,9",85,"1,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"84,1","84,9","83,9","85,2","85,4",,,,"85,4","83,9","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"85,7","86,2","86,3","85,5","85,4",,,,"86,3","85,4","0,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"86,8","86,5","86,4","85,7","84,9",,,,"86,8","84,9","1,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"83,6","84,2",84,"85,2","83,2",,,,"85,2","83,2",2
УЗЕ Бар БЕСС,8.2,✓ OK,"84,5","84,4","84,6",85,"82,2",,,,85,"82,2","2,8"
УЗЕ Бар БЕСС,9.1,✓ OK,"83,4","85,4","84,9","85,3","84,7",,,,"85,4","83,4",2
УЗЕ Бар БЕСС,9.2,✓ OK,"86,1","86,6","86,6","87,1","85,9",,,,"87,1","85,9","1,2"
УЗЕ Бар БЕСС,10.1,✓ OK,22,21,22,,,,,,22,21,1
УЗЕ Бар БЕСС,10.2,✓ OK,25,21,25,,,,,,25,21,4
УЗЕ Бар БЕСС,11.1,✓ OK,21,22,23,,,,,,23,21,2
УЗЕ Бар БЕСС,11.2,✓ OK,22,22,21,,,,,,22,21,1
УЗЕ Бар БЕСС,12.1,✓ OK,21,21,21,,,,,,21,21,0
УЗЕ Бар БЕСС,12.2,✓ OK,21,22,21,,,,,,22,21,1
УЗЕ Бар БЕСС,13.1,✓ OK,21,21,21,,,,,,21,21,0
УЗЕ Бар БЕСС,13.2,✓ OK,20,20,20,,,,,,20,20,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"87,9","89,1","88,2","87,9","87,9",,,,"89,1","87,9","1,2"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,7","88,7","86,7","88,2","87,5",,,,"88,7","86,7",2
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"88,4","87,5","87,7","88,7","87,7",,,,"88,7","87,5","1,2"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"88,2","87,4","88,7","87,5","87,7",,,,"88,7","87,4","1,3"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,2","91,1","89,6","90,3","89,1",,,,"91,1","88,2","2,9"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,4","87,3","87,9","88,3","88,2",,,,"88,4","87,3","1,1"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"90,7","86,8","88,8","90,1","84,3",,,,"90,7","84,3","6,4"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"86,7","83,2",91,"89,2","89,6",,,,91,"83,2","7,8"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"88,1","85,6","90,3","85,9","88,1",,,,"90,3","85,6","4,7"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"86,8","88,3","85,5","86,4","88,9",,,,"88,9","85,5","3,4"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"90,1","87,2","86,3","94,1","85,7",,,,"94,1","85,7","8,4"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"88,4",88,"85,9","84,2","88,6",,,,"88,6","84,2","4,4"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,❌ ERROR,N/A
