Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"86,1","84,2","86,5","86,1","85,7",,,,"86,5","84,2","2,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"84,1","82,8","83,9","85,6","86,2",,,,"86,2","82,8","3,4"
УЗЕ Бар БЕСС,2.1,✓ OK,"84,6","83,7","84,6","86,5",83,,,,"86,5",83,"3,5"
УЗЕ Бар БЕСС,2.2,✓ OK,"86,4","85,5","85,3","82,9","86,4",,,,"86,4","82,9","3,5"
УЗЕ Бар БЕСС,3.1,✓ OK,"84,3","84,2","85,6","83,9","86,2",,,,"86,2","83,9","2,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"86,1","85,5","85,5","86,4","86,4",,,,"86,4","85,5","0,9"
УЗЕ Бар БЕСС,4.1,✓ OK,"85,3","86,5","82,7","84,1","85,7",,,,"86,5","82,7","3,8"
УЗЕ Бар БЕСС,4.2,✓ OK,"84,8","86,3","84,3","87,4","87,7",,,,"87,7","84,3","3,4"
УЗЕ Бар БЕСС,5.1,✓ OK,"87,3","87,5","83,9","86,4","86,2",,,,"87,5","83,9","3,6"
УЗЕ Бар БЕСС,5.2,✓ OK,"82,5","83,9","84,5","90,4","82,8",,,,"90,4","82,5","7,9"
УЗЕ Бар БЕСС,6.1,✓ OK,"84,6","83,3","86,3","85,9","85,1",,,,"86,3","83,3",3
УЗЕ Бар БЕСС,6.2,✓ OK,"84,1","85,5",84,"85,9","86,2",,,,"86,2",84,"2,2"
УЗЕ Бар БЕСС,7.1,✓ OK,"84,7","85,7","86,2","84,9","84,5",,,,"86,2","84,5","1,7"
УЗЕ Бар БЕСС,7.2,✓ OK,"86,8","86,8","86,7","85,4","84,1",,,,"86,8","84,1","2,7"
УЗЕ Бар БЕСС,8.1,✓ OK,"83,7","84,5","84,3","86,4","83,1",,,,"86,4","83,1","3,3"
УЗЕ Бар БЕСС,8.2,✓ OK,"84,9","84,9","85,5","85,3",81,,,,"85,5",81,"4,5"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,8","85,8","84,5","85,3","84,5",,,,"85,8","81,8",4
УЗЕ Бар БЕСС,9.2,✓ OK,"86,3","86,6","86,7","87,5",85,,,,"87,5",85,"2,5"
УЗЕ Бар БЕСС,10.1,✓ OK,30,29,29,,,,,,30,29,1
УЗЕ Бар БЕСС,10.2,✓ OK,30,31,31,,,,,,31,30,1
УЗЕ Бар БЕСС,11.1,✓ OK,29,29,30,,,,,,30,29,1
