Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"73,7","71,4","73,7","73,7","73,3",,,,"73,7","71,4","2,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"71,7","69,7","70,7","73,3","74,2",,,,"74,2","69,7","4,5"
УЗЕ Бар БЕСС,2.1,✓ OK,"72,2","70,9","72,2","74,6","69,9",,,,"74,6","69,9","4,7"
УЗЕ Бар БЕСС,2.2,✓ OK,"75,2",74,"73,5","70,3","74,8",,,,"75,2","70,3","4,9"
УЗЕ Бар БЕСС,3.1,✓ OK,"71,8","71,3","74,3","71,4",76,,,,76,"71,3","4,7"
УЗЕ Бар БЕСС,3.2,✓ OK,74,"72,7",73,"73,6","73,9",,,,74,"72,7","1,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"73,5","74,7","70,5","72,3","74,3",,,,"74,7","70,5","4,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"70,8","72,7","70,3","74,5","74,5",,,,"74,5","70,3","4,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"74,8",75,"70,6","73,5","73,3",,,,75,"70,6","4,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"70,5","72,1","72,9",80,"70,3",,,,80,"70,3","9,7"
УЗЕ Бар БЕСС,6.1,✓ OK,"73,4","70,8","74,6","74,2","73,4",,,,"74,6","70,8","3,8"
УЗЕ Бар БЕСС,6.2,✓ OK,72,"73,8","72,3","74,1","73,8",,,,"74,1",72,"2,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"72,5",74,"74,8","73,1","72,3",,,,"74,8","72,3","2,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"74,4",74,74,"72,3","70,9",,,,"74,4","70,9","3,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"71,2","72,4","71,8","74,7",71,,,,"74,7",71,"3,7"
УЗЕ Бар БЕСС,8.2,✓ OK,"73,2","73,2","74,1",74,"68,5",,,,"74,1","68,5","5,6"
УЗЕ Бар БЕСС,9.1,✓ OK,"68,1","73,4","71,7","73,3","72,5",,,,"73,4","68,1","5,3"
УЗЕ Бар БЕСС,9.2,✓ OK,"73,3","73,3","73,8","74,5","71,7",,,,"74,5","71,7","2,8"
УЗЕ Бар БЕСС,10.1,✓ OK,60,58,60,,,,,,60,58,2
УЗЕ Бар БЕСС,10.2,✓ OK,60,59,60,,,,,,60,59,1
УЗЕ Бар БЕСС,11.1,✓ OK,57,58,60,,,,,,60,57,3
УЗЕ Бар БЕСС,11.2,✓ OK,59,59,59,,,,,,59,59,0
УЗЕ Бар БЕСС,12.1,✓ OK,58,59,59,,,,,,59,58,1
УЗЕ Бар БЕСС,12.2,✓ OK,58,59,58,,,,,,59,58,1
УЗЕ Бар БЕСС,13.1,✓ OK,60,60,60,,,,,,60,60,0
УЗЕ Бар БЕСС,13.2,✓ OK,60,59,59,,,,,,60,59,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"75,7","78,4","76,5","75,5","76,1",,,,"78,4","75,5","2,9"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,75,"78,3","72,8","74,8","75,1",,,,"78,3","72,8","5,5"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"75,7","73,4","75,1","76,4","75,5",,,,"76,4","73,4",3
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"78,1","75,4","78,2","74,9","75,5",,,,"78,2","74,9","3,3"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"81,4","77,3","72,7","75,4","72,5",,,,"81,4","72,5","8,9"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"77,7","74,1","76,3","76,7","76,8",,,,"77,7","74,1","3,6"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"75,4","73,5","74,8","75,2","72,8",,,,"75,4","72,8","2,6"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"73,9","72,3","75,9","75,3","75,1",,,,"75,9","72,3","3,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"75,4","74,1","76,3","74,6","75,3",,,,"76,3","74,1","2,2"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"74,5","74,6",74,74,"75,1",,,,"75,1",74,"1,1"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"75,4",74,"73,8","77,1","73,7",,,,"77,1","73,7","3,4"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"74,2","73,5","72,9","72,9","74,2",,,,"74,2","72,9","1,3"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,32,30,,,,,,32,30,2
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,26,27,26,24,26,24,,,27,24,3
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,32,29,,,,,,32,29,3
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,35,39,,,,,,39,35,4
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,64,57,20,,,,,,57,20,37
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,99,65,65,,,,,,65,65,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,99,46,45,,,,,,46,45,1
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,99,45,46,,,,,,46,45,1
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,99,40,40,,,,,,40,40,0
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,99,38,46,,,,,,46,38,8


