Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"75,9","74,5",76,"75,9","75,5",,,,76,"74,5","1,5"
УЗЕ Бар БЕСС,1.2,✓ OK,"73,5","72,9","73,3","74,6","75,5",,,,"75,5","72,9","2,6"
УЗЕ Бар БЕСС,2.1,✓ OK,74,"73,5","74,3","75,6",73,,,,"75,6",73,"2,6"
УЗЕ Бар БЕСС,2.2,✓ OK,76,"75,5","75,4","73,3",76,,,,76,"73,3","2,7"
УЗЕ Бар БЕСС,3.1,✓ OK,"74,1","74,1","75,4","73,9","76,4",,,,"76,4","73,9","2,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"75,8","75,1","75,1","75,6","75,6",,,,"75,8","75,1","0,7"
УЗЕ Бар БЕСС,4.1,✓ OK,"75,4","76,1","73,4","74,4","75,6",,,,"76,1","73,4","2,7"
УЗЕ Бар БЕСС,4.2,✓ OK,"73,5","74,7","73,1","75,9","75,8",,,,"75,9","73,1","2,8"
УЗЕ Бар БЕСС,5.1,✓ OK,"76,4","76,6",74,"75,4","75,5",,,,"76,6",74,"2,6"
УЗЕ Бар БЕСС,5.2,✓ OK,"73,5","74,5","74,9",79,"73,6",,,,79,"73,5","5,5"
УЗЕ Бар БЕСС,6.1,✓ OK,"75,4","74,1","76,1","75,8","75,5",,,,"76,1","74,1",2
УЗЕ Бар БЕСС,6.2,✓ OK,"73,2","74,3","73,4","74,7","75,5",,,,"75,5","73,2","2,3"
УЗЕ Бар БЕСС,7.1,✓ OK,"75,1","75,6","76,5","75,3","75,1",,,,"76,5","75,1","1,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"76,5","76,6","76,4","75,5","74,5",,,,"76,6","74,5","2,1"
УЗЕ Бар БЕСС,8.1,✓ OK,"73,8","74,5","74,3","75,3","73,3",,,,"75,3","73,3",2
УЗЕ Бар БЕСС,8.2,✓ OK,"74,6","74,5","75,3","75,2","71,9",,,,"75,3","71,9","3,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"71,9","74,7","73,9","74,7","73,9",,,,"74,7","71,9","2,8"
УЗЕ Бар БЕСС,9.2,✓ OK,"75,6",76,"76,2","76,5","75,3",,,,"76,5","75,3","1,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,30,32,,,,,,32,30,2
