Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"89,7","89,7","89,7","89,7","89,7",,,,"89,7","89,7",0
УЗЕ Бар БЕСС,1.2,✓ OK,90,"89,8",90,"89,8",90,,,,90,"89,8","0,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"88,7","88,9","88,6","88,8","88,6",,,,"88,9","88,6","0,3"
УЗЕ Бар БЕСС,2.2,✓ OK,90,90,90,90,90,,,,90,90,0
УЗЕ Бар БЕСС,3.1,✓ OK,"89,7","89,7","89,7","89,7","89,7",,,,"89,7","89,7",0
УЗЕ Бар БЕСС,3.2,✓ OK,"89,5","88,4","89,5","90,4","90,4",,,,"90,4","88,4",2
УЗЕ Бар БЕСС,4.1,✓ OK,"90,8","90,4","90,8","90,8","90,4",,,,"90,8","90,4","0,4"
УЗЕ Бар БЕСС,4.2,✓ OK,"89,2","89,2","89,2","89,2","89,2",,,,"89,2","89,2",0
УЗЕ Бар БЕСС,5.1,✓ OK,"90,2","90,5","90,2","90,4","90,4",,,,"90,5","90,2","0,3"
УЗЕ Бар БЕСС,5.2,✓ OK,"90,4","90,4","90,5","90,4","90,4",,,,"90,5","90,4","0,1"
УЗЕ Бар БЕСС,6.1,✓ OK,"93,2","93,1","93,1","93,2","93,2",,,,"93,2","93,1","0,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"91,9","91,9",92,"91,8",90,,,,92,90,2
УЗЕ Бар БЕСС,7.1,✓ OK,"90,4","90,4","90,4","90,4","90,4",,,,"90,4","90,4",0
УЗЕ Бар БЕСС,7.2,✓ OK,"90,9","90,5","90,8",90,"90,5",,,,"90,9",90,"0,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"90,2","91,7","92,1","95,7","89,8",,,,"95,7","89,8","5,9"
УЗЕ Бар БЕСС,8.2,✓ OK,"92,5","92,9","93,9","93,3","86,1",,,,"93,9","86,1","7,8"
УЗЕ Бар БЕСС,9.1,✓ OK,"86,5","94,6","91,6","94,1","91,9",,,,"94,6","86,5","8,1"
УЗЕ Бар БЕСС,9.2,✓ OK,"91,8",93,"92,2","94,2","90,2",,,,"94,2","90,2",4
УЗЕ Бар БЕСС,10.1,✓ OK,62,62,63,,,,,,63,62,1
УЗЕ Бар БЕСС,10.2,✓ OK,63,62,62,,,,,,63,62,1
УЗЕ Бар БЕСС,11.1,✓ OK,66,67,67,,,,,,67,66,1
УЗЕ Бар БЕСС,11.2,✓ OK,67,68,67,,,,,,68,67,1
УЗЕ Бар БЕСС,12.1,✓ OK,68,68,68,,,,,,68,68,0
УЗЕ Бар БЕСС,12.2,✓ OK,70,70,70,,,,,,70,70,0
УЗЕ Бар БЕСС,13.1,✓ OK,66,67,66,,,,,,67,66,1
УЗЕ Бар БЕСС,13.2,✓ OK,68,68,68,,,,,,68,68,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,88,"90,7","88,6","87,7","87,9",,,,"90,7","87,7",3
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"88,2","91,6","85,4","87,5","87,6",,,,"91,6","85,4","6,2"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"88,4","87,1","87,7","88,9","88,5",,,,"88,9","87,1","1,8"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"91,2","88,1","90,7","87,3","87,6",,,,"91,2","87,3","3,9"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"89,8","91,5","85,5","88,3","85,3",,,,"91,5","85,3","6,2"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"90,7","86,8","87,9","88,5","89,4",,,,"90,7","86,8","3,9"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"83,6","83,5","83,6","83,6","83,2",,,,"83,6","83,2","0,4"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,84,84,84,84,"84,3",,,,"84,3",84,"0,3"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"86,9","86,9","86,9","86,9","87,2",,,,"87,2","86,9","0,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"86,9","86,5","86,4","86,5","86,4",,,,"86,9","86,4","0,5"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"82,6","82,6","82,6","82,6","82,5",,,,"82,6","82,5","0,1"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"83,4","82,7","82,2","81,5","83,4",,,,"83,4","81,5","1,9"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,69,69,,,,,,69,69,0
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,87,87,85,89,89,86,,,89,85,4
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,69,68,,,,,,69,68,1
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,69,69,,,,,,69,69,0
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,100,76,78,,,,,,78,76,2
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,76,76,,,,,,76,76,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,68,68,,,,,,68,68,0
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,69,68,,,,,,69,68,1
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,68,68,,,,,,68,68,0
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,100,68,67,,,,,,68,67,1


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,92,92,92,92,88,92,,,92,88,4
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"81,1","79,9","80,3","80,7","80,7",,,,"81,1","79,9","1,2"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"80,3","80,3","80,3","79,9","79,9",,,,"80,3","79,9","0,4"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"80,7","80,7","80,7","80,7","80,7",,,,"80,7","80,7",0
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"81,2","80,9","81,4","81,4","78,9",,,,"81,4","78,9","2,5"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,78,"77,9","78,3","77,6","78,4",,,,"78,4","77,6","0,8"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"77,4","77,3","76,1","79,2","74,1",,,,"79,2","74,1","5,1"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"78,7","76,9","74,2","76,4","77,6",,,,"78,7","74,2","4,5"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"75,6","79,2","80,4","80,5","76,9",,,,"80,5","75,6","4,9"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,80,"78,7","77,8","77,5","77,7",,,,80,"77,5","2,5"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"79,8","76,3","81,4","76,9","77,9",,,,"81,4","76,3","5,1"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,86,87,87,92,88,87,,,92,86,6


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,89,90,90,,,,,,90,89,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,91,90,92,,,,,,92,90,2
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"76,5","79,2","77,2",83,"76,9",,,,83,"76,5","6,5"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"75,7","76,5","76,4","82,8","83,4",,,,"83,4","75,7","7,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,90,90,89,,,,,,90,89,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,90,90,90,,,,,,90,90,0


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"86,3","87,2","85,9","86,8","86,7",,,,"87,2","85,9","1,3"
