Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Зорянська БЕСС,PCS-5,✓ OK,81.0,82.0,83.0,81.0,80.0,,,,83.0,80.0,3.0
УЗЕ Зорянська БЕСС,УЗЕ-02,✓ OK,100.0,77.0,86.0,,,,,,86.0,77.0,9.0
УЗЕ Зорянська БЕСС,УЗЕ-07,✓ OK,100.0,100.0,72.0,,,,,,100.0,72.0,28.0
УЗЕ Зорянська БЕСС,УЗЕ-09,✓ OK,100.0,81.0,82.0,,,,,,82.0,81.0,1.0
УЗЕ Зорянська БЕСС,УЗЕ-10,✓ OK,100.0,100.0,87.0,,,,,,100.0,87.0,13.0
УЗЕ Зорянська БЕСС,УЗЕ-01,✓ OK,100.0,98.0,95.0,,,,,,98.0,95.0,3.0
УЗЕ Зорянська БЕСС,УЗЕ-03,✓ OK,100.0,83.0,83.0,,,,,,83.0,83.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-04,✓ OK,100.0,86.0,83.0,,,,,,86.0,83.0,3.0
УЗЕ Зорянська БЕСС,УЗЕ-06,✓ OK,100.0,86.0,82.0,,,,,,86.0,82.0,4.0
УЗЕ Зорянська БЕСС,УЗЕ-08,✓ OK,100.0,59.0,94.0,,,,,,94.0,59.0,35.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-3.1,✓ OK,89.4,89.3,90.2,90.0,91.1,,,,91.1,89.3,1.8
УЗЕ Бар БЕСС,PCS-3.2,✓ OK,90.4,88.5,90.0,91.2,91.3,,,,91.3,88.5,2.8
УЗЕ Бар БЕСС,PCS-4.1,✓ OK,90.5,91.3,88.1,90.4,90.7,,,,91.3,88.1,3.2
УЗЕ Бар БЕСС,PCS-4.2,✓ OK,89.2,90.1,89.2,90.9,91.6,,,,91.6,89.2,2.4
УЗЕ Бар БЕСС,PCS-5.1,✓ OK,90.8,91.1,89.5,90.3,89.8,,,,91.1,89.5,1.6
УЗЕ Бар БЕСС,PCS-5.2,✓ OK,89.1,89.4,90.0,93.4,88.6,,,,93.4,88.6,4.8
УЗЕ Бар БЕСС,PCS-8.1,✓ OK,92.7,92.7,93.1,92.7,93.1,,,,93.1,92.7,0.4
УЗЕ Бар БЕСС,PCS-8.2,✓ OK,93.1,92.7,93.1,93.1,93.1,,,,93.1,92.7,0.4
УЗЕ Бар БЕСС,PCS-9.1,✓ OK,83.2,94.1,90.0,93.8,90.8,,,,94.1,83.2,10.9
УЗЕ Бар БЕСС,PCS-9.2,✓ OK,89.9,91.6,90.2,93.3,87.0,,,,93.3,87.0,6.3
УЗЕ Бар БЕСС,PCS-1.1,✓ OK,90.9,88.8,91.2,90.3,89.6,,,,91.2,88.8,2.4
УЗЕ Бар БЕСС,PCS-1.2,✓ OK,90.4,90.4,90.4,90.4,90.8,,,,90.8,90.4,0.4
УЗЕ Бар БЕСС,PCS-2.1,✓ OK,90.4,89.7,89.5,91.9,89.0,,,,91.9,89.0,2.9
УЗЕ Бар БЕСС,PCS-2.2,✓ OK,90.5,90.5,90.5,88.1,90.8,,,,90.8,88.1,2.7
УЗЕ Бар БЕСС,PCS-6.1,✓ OK,89.5,89.5,91.5,90.9,89.9,,,,91.5,89.5,2.0
УЗЕ Бар БЕСС,PCS-6.2,✓ OK,90.2,91.1,89.9,90.3,90.8,,,,91.1,89.9,1.2
УЗЕ Бар БЕСС,PCS-7.1,✓ OK,89.7,90.4,90.9,90.8,89.2,,,,90.9,89.2,1.7
УЗЕ Бар БЕСС,PCS-7.2,✓ OK,91.2,90.8,90.4,89.8,88.6,,,,91.2,88.6,2.6
УЗЕ Бар БЕСС,PCS-10.1,⚠ WARN,81.0,80.0,80.0,,,,,,81.0,80.0,1.0
УЗЕ Бар БЕСС,PCS-10.2,❌ ERROR,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-11.1,⚠ WARN,78.0,80.0,81.0,,,,,,81.0,78.0,3.0
УЗЕ Бар БЕСС,PCS-11.2,❌ ERROR,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-12.1,⚠ WARN,81.0,80.0,80.0,,,,,,81.0,80.0,1.0
УЗЕ Бар БЕСС,PCS-12.2,❌ ERROR,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-13.1,⚠ WARN,80.0,81.0,81.0,,,,,,81.0,80.0,1.0
УЗЕ Бар БЕСС,PCS-13.2,❌ ERROR,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,93.4,93.4,93.5,93.5,93.2,,,,93.5,93.2,0.3
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,92.5,97.4,88.2,91.2,90.9,,,,97.4,88.2,9.2
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,92.6,89.6,90.8,93.2,92.8,,,,93.2,89.6,3.6
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,95.2,91.1,94.4,89.5,89.7,,,,95.2,89.5,5.7
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,94.5,97.3,88.2,91.8,88.4,,,,97.3,88.2,9.1
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,94.1,93.3,93.4,93.5,93.8,,,,94.1,93.3,0.8
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,❌ ERROR,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,97.2,91.4,94.8,96.9,95.9,,,,97.2,91.4,5.8
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,95.1,98.3,94.4,92.3,95.4,,,,98.3,92.3,6.0
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,95.9,97.4,94.6,93.2,95.1,,,,97.4,93.2,4.2
