Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"90,3","90,3","90,3","90,3","90,3",,,,"90,3","90,3",0
УЗЕ Бар БЕСС,1.2,✓ OK,"92,3","92,3","92,6","92,7","92,7",,,,"92,7","92,3","0,4"
УЗЕ Бар БЕСС,2.1,✓ OK,"89,9","89,9","89,9","89,9","89,9",,,,"89,9","89,9",0
УЗЕ Бар БЕСС,2.2,✓ OK,"90,3","90,3","90,3","90,3","90,3",,,,"90,3","90,3",0
УЗЕ Бар БЕСС,3.1,✓ OK,"90,4","90,2",90,"90,4","90,5",,,,"90,5",90,"0,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"90,4","90,6","90,7","90,7","90,7",,,,"90,7","90,4","0,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"89,7","89,7","89,7","89,7","89,7",,,,"89,7","89,7",0
УЗЕ Бар БЕСС,4.2,✓ OK,"90,2","90,2","89,9","89,8","90,2",,,,"90,2","89,8","0,4"
УЗЕ Бар БЕСС,5.1,✓ OK,"90,7","90,3","90,3","90,7","90,3",,,,"90,7","90,3","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"90,3","89,9","90,3","90,3","89,9",,,,"90,3","89,9","0,4"
УЗЕ Бар БЕСС,6.1,✓ OK,"90,3","90,3","90,3","90,3","90,3",,,,"90,3","90,3",0
УЗЕ Бар БЕСС,6.2,✓ OK,"90,3","89,9","89,9","89,9","92,7",,,,"92,7","89,9","2,8"
УЗЕ Бар БЕСС,7.1,✓ OK,"90,7","90,3","90,3","90,7","90,7",,,,"90,7","90,3","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"90,3","90,3","90,3","90,3","90,4",,,,"90,4","90,3","0,1"
УЗЕ Бар БЕСС,8.1,✓ OK,"89,9","89,9","89,9","89,9","89,5",,,,"89,9","89,5","0,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"89,9","89,9","89,9","90,3","89,9",,,,"90,3","89,9","0,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"89,8",90,"89,9",90,90,,,,90,"89,8","0,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"90,8","90,7","90,7","90,7","90,8",,,,"90,8","90,7","0,1"
УЗЕ Бар БЕСС,10.1,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,10.2,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,11.1,✓ OK,27,28,29,,,,,,29,27,2
УЗЕ Бар БЕСС,11.2,✓ OK,27,27,28,,,,,,28,27,1
УЗЕ Бар БЕСС,12.1,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,12.2,✓ OK,26,26,26,,,,,,26,26,0
УЗЕ Бар БЕСС,13.1,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,13.2,✓ OK,27,27,27,,,,,,27,27,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"89,5","92,1","90,5","88,9",90,,,,"92,1","88,9","3,2"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"90,1","91,7","87,6","89,8","89,7",,,,"91,7","87,6","4,1"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"88,9","88,9","88,9","88,9",89,,,,89,"88,9","0,1"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"91,6","88,7","91,8",88,"88,9",,,,"91,8",88,"3,8"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"92,5","92,5","87,1",90,"86,8",,,,"92,5","86,8","5,7"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"92,1","87,8","90,3","90,7","90,9",,,,"92,1","87,8","4,3"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"89,1",87,"88,4","88,9","85,7",,,,"89,1","85,7","3,4"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"87,3","85,2","89,2","88,5","88,8",,,,"89,2","85,2",4
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"88,3","86,8","89,4","87,1","88,1",,,,"89,4","86,8","2,6"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,87,"87,3","86,1","86,3","87,6",,,,"87,6","86,1","1,5"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"88,8","87,3","86,8","90,2","86,7",,,,"90,2","86,7","3,5"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"88,5","87,9","87,2","86,4","88,4",,,,"88,5","86,4","2,1"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,71,70,,,,,,71,70,1
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,91,91,88,88,88,83,,,91,83,8
