Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"81,4","81,4","81,4","81,4","81,8",,,"81,8","81,4","0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,"82,6","82,6","82,6","82,6",83,,,83,"82,6","0,4"
УЗЕ Бар БЕСС,2.1,✓ OK,82,82,82,82,82,,,82,82,0
УЗЕ Бар БЕСС,2.2,✓ OK,"82,1","82,1","82,1","81,7",82,,,"82,1","81,7","0,4"
УЗЕ Бар БЕСС,3.1,✓ OK,"81,3","81,3","80,9","81,3","81,3",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,3.2,✓ OK,"81,3","81,3","80,9","81,3","81,3",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"81,3","80,9","81,3","81,3","80,9",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,4.2,✓ OK,"81,3","80,9","80,9","80,9","81,3",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,5.1,✓ OK,"80,9","81,3","80,9","81,3","80,9",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"82,8","82,1","82,8","82,7","82,3",,,"82,8","82,1","0,7"
УЗЕ Бар БЕСС,6.1,✓ OK,"81,4",81,"81,4",81,"81,4",,,"81,4",81,"0,4"
УЗЕ Бар БЕСС,6.2,✓ OK,81,81,81,"81,4",83,,,83,81,2
УЗЕ Бар БЕСС,7.1,✓ OK,"80,9","81,3","80,9","81,3","81,3",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"81,5","81,1","81,1","81,1","81,1",,,"81,5","81,1","0,4"
УЗЕ Бар БЕСС,8.1,✓ OK,"80,9","81,3","80,9","81,3","80,9",,,"81,3","80,9","0,4"
УЗЕ Бар БЕСС,8.2,✓ OK,81,81,81,81,"80,6",,,81,"80,6","0,4"
УЗЕ Бар БЕСС,9.1,✓ OK,81,81,81,81,81,,,81,81,0
УЗЕ Бар БЕСС,9.2,✓ OK,"81,8","81,4","81,4","81,4","81,8",,,"81,8","81,4","0,4"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,44,44,44,,,,,44,44,0
УЗЕ Бар БЕСС,11.2,✓ OK,44,44,43,,,,,44,43,1
УЗЕ Бар БЕСС,12.1,✓ OK,44,44,46,,,,,46,44,2
УЗЕ Бар БЕСС,12.2,✓ OK,44,44,44,,,,,44,44,0
УЗЕ Бар БЕСС,13.1,✓ OK,44,44,44,,,,,44,44,0
УЗЕ Бар БЕСС,13.2,✓ OK,43,43,43,,,,,43,43,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"82,5","88,6","84,7","81,6","83,3",,,"88,6","81,6",7
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"85,1","91,1","77,3","82,6","85,8",,,"91,1","77,3","13,8"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"84,9","82,9","83,9","85,8",84,,,"85,8","82,9","2,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"85,1","83,3","85,7","83,1","83,7",,,"85,7","83,1","2,6"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","81,2","69,6","79,1","68,8",,,"88,4","68,8","19,6"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,9","75,6","85,6","86,3","86,4",,,"88,9","75,6","13,3"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"83,8","80,9","82,7","83,3","79,7",,,"83,8","79,7","4,1"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"81,4","79,2","83,8",83,"82,9",,,"83,8","79,2","4,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"82,4","80,9","83,9","81,1","82,4",,,"83,9","80,9",3
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"80,3","81,5","79,8","80,3","81,7",,,"81,7","79,8","1,9"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"83,1","80,9","80,4","85,2","80,1",,,"85,2","80,1","5,1"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"81,9","81,5","80,3","79,4",82,,,82,"79,4","2,6"
,,,,,,,,,,,,
