Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,PCS-1.1,⚠ WARN,"87,5",,,,,,,,"87,5","87,5",0
УЗЕ Бар БЕСС,PCS-1.2,⚠ WARN,"86,3",,,,,,,,"86,3","86,3",0
УЗЕ Бар БЕСС,PCS-2.1,⚠ WARN,"86,3",,,,,,,,"86,3","86,3",0
УЗЕ Бар БЕСС,PCS-2.2,⚠ WARN,"87,5",,,,,,,,"87,5","87,5",0
УЗЕ Бар БЕСС,PCS-3.1,⚠ WARN,"86,7",,,,,,,,"86,7","86,7",0
УЗЕ Бар БЕСС,PCS-3.2,⚠ WARN,"87,7",,,,,,,,"87,7","87,7",0
УЗЕ Бар БЕСС,PCS-4.1,⚠ WARN,"86,9",,,,,,,,"86,9","86,9",0
УЗЕ Бар БЕСС,PCS-4.2,⚠ WARN,"86,5",,,,,,,,"86,5","86,5",0
УЗЕ Бар БЕСС,PCS-5.1,⚠ WARN,"88,1",,,,,,,,"88,1","88,1",0
УЗЕ Бар БЕСС,PCS-5.2,⚠ WARN,87,,,,,,,,87,87,0
УЗЕ Бар БЕСС,PCS-6.1,⚠ WARN,"87,1",,,,,,,,"87,1","87,1",0
УЗЕ Бар БЕСС,PCS-6.2,⚠ WARN,"86,5",,,,,,,,"86,5","86,5",0
УЗЕ Бар БЕСС,PCS-7.1,⚠ WARN,"87,2",,,,,,,,"87,2","87,2",0
УЗЕ Бар БЕСС,PCS-7.2,⚠ WARN,"87,7",,,,,,,,"87,7","87,7",0
УЗЕ Бар БЕСС,PCS-8.1,⚠ WARN,"86,3",,,,,,,,"86,3","86,3",0
УЗЕ Бар БЕСС,PCS-8.2,⚠ WARN,"86,5",,,,,,,,"86,5","86,5",0
УЗЕ Бар БЕСС,PCS-9.1,⚠ WARN,"86,3",,,,,,,,"86,3","86,3",0
УЗЕ Бар БЕСС,PCS-9.2,⚠ WARN,"88,3",,,,,,,,"88,3","88,3",0


УЗЕ Драбівська БЕСС,PCS-1.1,⚠ WARN,"83,7",,,,,,,,"83,7","83,7",0
УЗЕ Драбівська БЕСС,PCS-1.2,⚠ WARN,"83,3",,,,,,,,"83,3","83,3",0
УЗЕ Драбівська БЕСС,PCS-2.1,⚠ WARN,83,,,,,,,,83,83,0
УЗЕ Драбівська БЕСС,PCS-2.2,⚠ WARN,"82,8",,,,,,,,"82,8","82,8",0
