Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"85,8","85,8","86,2","86,2","86,2",,,"86,2","85,8","0,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"86,2","86,2","86,2","86,2","86,2",,,"86,2","86,2",0
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","86,4","86,5","86,4","86,4",,,"88,4","86,4",2
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"87,7","87,8","87,3","87,8","87,7",,,"87,8","87,3","0,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,85,"81,6","83,7","84,3","80,4",,,85,"80,4","4,6"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"82,4","79,7","85,1","84,2","84,2",,,"85,1","79,7","5,4"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"83,1","81,5","84,8","81,8","83,2",,,"84,8","81,5","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"81,2","82,4","80,3","81,2","82,6",,,"82,6","80,3","2,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,84,"81,8","81,3","86,7",81,,,"86,7",81,"5,7"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"82,8","82,4","81,1","79,9","82,9",,,"82,9","79,9",3
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,77,77,77,77,77,,,77,77,0
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,93,"76,7","85,2",90,"89,4",,,93,"76,7","16,3"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"84,9","96,9","84,3","74,7","85,3",,,"96,9","74,7","22,2"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"87,1","94,8","85,6","78,8","87,4",,,"94,8","78,8",16
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,87,"86,6","87,4","88,9","80,7",,,"88,9","80,7","8,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"84,6","82,4","83,9","82,2","86,2",,,"86,2","82,2",4
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"85,1","84,2","82,8","88,2",80,,,"88,2",80,"8,2"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,87,85,"78,2","83,6","86,2",,,87,"78,2","8,8"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"78,2","83,8",87,"87,5","81,9",,,"87,5","78,2","9,3"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"87,1","84,1","82,2","83,1","81,8",,,"87,1","81,8","5,3"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"86,2","79,2","88,9","80,8","83,1",,,"88,9","79,2","9,7"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,93,92,94,92,92,,,94,92,2
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,74,73,74,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,74,74,73,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"94,6","97,9","95,7",98,"93,4",,,98,"93,4","4,6"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"92,7","93,5","93,3","98,5",98,,,"98,5","92,7","5,8"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,74,74,74,,,,,74,74,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,74,74,74,,,,,74,74,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"94,8","94,8","94,8","94,8","95,2",,,"95,2","94,8","0,4"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"95,2","95,2","94,8","94,8","94,8",,,"95,2","94,8","0,4"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"94,8","94,8","95,2","94,8","95,2",,,"95,2","94,8","0,4"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"94,8","94,9","95,1","94,7","95,2",,,"95,2","94,7","0,5"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"94,9","94,9","94,9","95,2","94,9",,,"95,2","94,9","0,3"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"94,9","94,9","95,3","94,9","95,3",,,"95,3","94,9","0,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"94,9","94,9","94,9","94,9","94,9",,,"94,9","94,9",0
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"94,9","95,3","95,3","94,9","95,3",,,"95,3","94,9","0,4"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,93,94,92,95,95,,,95,92,3
