Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"84,3","83,7","84,3","84,3","84,1",,,,"84,3","83,7","0,6"
УЗЕ Бар БЕСС,1.2,✓ OK,"82,2","81,8","81,8","82,6",83,,,,83,"81,8","1,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"83,3","82,7","83,3",84,"82,5",,,,84,"82,5","1,5"
УЗЕ Бар БЕСС,2.2,✓ OK,84,"84,1","83,7","82,8","84,1",,,,"84,1","82,8","1,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"82,1","82,1","83,1","81,9",83,,,,"83,1","81,9","1,2"
УЗЕ Бар БЕСС,3.2,✓ OK,"84,4","84,2",84,"84,5","84,4",,,,"84,5",84,"0,5"
УЗЕ Бар БЕСС,4.1,✓ OK,84,"84,3","83,1","83,4","83,9",,,,"84,3","83,1","1,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,2","82,5","81,9","83,3","83,2",,,,"83,3","81,9","1,4"
УЗЕ Бар БЕСС,5.1,✓ OK,"84,4","84,6",83,"84,2","83,7",,,,"84,6",83,"1,6"
УЗЕ Бар БЕСС,5.2,✓ OK,83,"83,2","83,7","85,8","83,1",,,,"85,8",83,"2,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,7","82,8",84,"83,5","83,3",,,,84,"82,8","1,2"
УЗЕ Бар БЕСС,6.2,✓ OK,83,"83,4","83,1","83,7",83,,,,"83,7",83,"0,7"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,4","84,1","84,2","83,6","83,3",,,,"84,2","83,3","0,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"84,4","84,6","84,3","83,7","83,6",,,,"84,6","83,6",1
УЗЕ Бар БЕСС,8.1,✓ OK,"82,9","83,3","83,1","83,7","82,7",,,,"83,7","82,7",1
УЗЕ Бар БЕСС,8.2,✓ OK,83,83,83,"83,3","81,2",,,,"83,3","81,2","2,1"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,7","82,9","82,6",83,"82,5",,,,83,"81,7","1,3"
УЗЕ Бар БЕСС,9.2,✓ OK,"84,1","84,4","84,4","84,7","84,2",,,,"84,7","84,1","0,6"
УЗЕ Бар БЕСС,10.1,✓ OK,30,28,29,,,,,,30,28,2
УЗЕ Бар БЕСС,10.2,✓ OK,30,28,29,,,,,,30,28,2
УЗЕ Бар БЕСС,11.1,✓ OK,29,28,29,,,,,,29,28,1
УЗЕ Бар БЕСС,11.2,✓ OK,29,28,29,,,,,,29,28,1
УЗЕ Бар БЕСС,12.1,✓ OK,29,28,30,,,,,,30,28,2
УЗЕ Бар БЕСС,12.2,✓ OK,28,28,30,,,,,,30,28,2
УЗЕ Бар БЕСС,13.1,✓ OK,29,29,29,,,,,,29,29,0
УЗЕ Бар БЕСС,13.2,✓ OK,28,28,28,,,,,,28,28,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"85,3","86,1","85,3","85,3","84,9",,,,"86,1","84,9","1,2"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"84,5","85,3","84,1","84,9","84,5",,,,"85,3","84,1","1,2"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"84,5","84,1","84,4","84,9","84,4",,,,"84,9","84,1","0,8"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"84,9","84,5","84,9","84,5","84,5",,,,"84,9","84,5","0,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,2","86,7","85,6","86,3","85,5",,,,"88,2","85,5","2,7"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"84,3","83,7","83,8","84,2","84,1",,,,"84,3","83,7","0,6"


