Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"65,1",58,"66,4","65,9","65,5",,,"66,4",58,"8,4"
УЗЕ Бар БЕСС,1.2,✓ OK,62,"55,6","61,1","67,3","70,2",,,"70,2","55,6","14,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"63,3","60,5","63,3","67,8","59,9",,,"67,8","59,9","7,9"
УЗЕ Бар БЕСС,2.2,✓ OK,70,65,"63,6","54,7","66,5",,,70,"54,7","15,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"58,4","57,2","67,9","59,9","71,7",,,"71,7","57,2","14,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"63,2","63,4",63,64,"64,8",,,"64,8",63,"1,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"64,4","70,1","55,4","61,6","67,3",,,"70,1","55,4","14,7"
УЗЕ Бар БЕСС,4.2,✓ OK,"61,5",64,"58,3","65,4","66,4",,,"66,4","58,3","8,1"
УЗЕ Бар БЕСС,5.1,✓ OK,"66,3","67,4","58,5","64,9","62,8",,,"67,4","58,5","8,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"59,7","63,9","65,3","73,5","55,8",,,"73,5","55,8","17,7"
УЗЕ Бар БЕСС,6.1,✓ OK,"61,9","58,7",65,"65,6","63,8",,,"65,6","58,7","6,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"60,6","67,1","60,9","67,7","70,2",,,"70,2","60,6","9,6"
УЗЕ Бар БЕСС,7.1,✓ OK,"62,5","63,7","66,1","61,7","60,8",,,"66,1","60,8","5,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"63,6","63,6","63,4","63,1","63,2",,,"63,6","63,1","0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"58,7","62,9","61,4","70,7","57,4",,,"70,7","57,4","13,3"
УЗЕ Бар БЕСС,8.2,✓ OK,"62,9","64,4","68,1","65,7","50,3",,,"68,1","50,3","17,8"
УЗЕ Бар БЕСС,9.1,✓ OK,"50,8","68,7","62,6","66,8","64,9",,,"68,7","50,8","17,9"
УЗЕ Бар БЕСС,9.2,✓ OK,"63,6","65,6","66,2","67,6","56,9",,,"67,6","56,9","10,7"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,32,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,52,52,53,,,,,53,52,1
УЗЕ Бар БЕСС,11.2,✓ OK,52,52,52,,,,,52,52,0
