Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"85,2",85,"85,6","85,1","84,9",,,,"85,6","84,9","0,7"
УЗЕ Бар БЕСС,1.2,✓ OK,"83,1","83,1","83,1","83,9","84,3",,,,"84,3","83,1","1,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"83,4","82,9","83,4","83,7","82,6",,,,"83,7","82,6","1,1"
УЗЕ Бар БЕСС,2.2,✓ OK,"85,2","85,2","85,1","84,1","85,4",,,,"85,4","84,1","1,3"
УЗЕ Бар БЕСС,3.1,✓ OK,84,"84,1","84,4","83,8","84,3",,,,"84,4","83,8","0,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"85,4","85,3","85,1","85,3","85,4",,,,"85,4","85,1","0,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"85,3","85,5","84,4","85,1","85,2",,,,"85,5","84,4","1,1"
УЗЕ Бар БЕСС,4.2,✓ OK,"83,4","83,8","83,6","84,6","84,5",,,,"84,6","83,4","1,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"85,7","85,9","84,8","85,5",85,,,,"85,9","84,8","1,1"
УЗЕ Бар БЕСС,5.2,✓ OK,"84,7",85,"85,4","86,5","84,8",,,,"86,5","84,7","1,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"85,3","84,3","85,1","85,1","84,6",,,,"85,3","84,3",1
УЗЕ Бар БЕСС,6.2,✓ OK,"82,8","83,6","82,9","83,9","84,3",,,,"84,3","82,8","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"84,4","84,8","84,9","84,7","84,8",,,,"84,9","84,4","0,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"85,3","85,2","85,2","84,8","84,6",,,,"85,3","84,6","0,7"
УЗЕ Бар БЕСС,8.1,✓ OK,83,"83,4","83,2","83,4","82,8",,,,"83,4","82,8","0,6"
УЗЕ Бар БЕСС,8.2,✓ OK,"83,7","83,7","83,7","83,6","82,3",,,,"83,7","82,3","1,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"83,1","83,5","83,5","83,5","83,5",,,,"83,5","83,1","0,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"85,4","85,5","85,3","85,6","85,4",,,,"85,6","85,3","0,3"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,32,31,33,,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,80,83,80,,,,,,83,80,3
УЗЕ Бар БЕСС,11.2,✓ OK,80,80,83,,,,,,83,80,3
УЗЕ Бар БЕСС,12.1,✓ OK,82,81,83,,,,,,83,81,2
УЗЕ Бар БЕСС,12.2,✓ OK,82,82,82,,,,,,82,82,0
УЗЕ Бар БЕСС,13.1,✓ OK,82,81,83,,,,,,83,81,2
УЗЕ Бар БЕСС,13.2,✓ OK,80,83,81,,,,,,83,80,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,4","86,8","86,4","86,4",86,,,,"86,8",86,"0,8"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"86,1","86,5","85,7","86,6","85,7",,,,"86,6","85,7","0,9"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,6","85,9","86,2","86,6","85,8",,,,"86,6","85,8","0,8"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"86,6","86,2","86,6","86,2","86,2",,,,"86,6","86,2","0,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,3","89,1","88,4","88,8","88,3",,,,"89,1","88,3","0,8"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"86,5","86,5","86,5","86,9","86,5",,,,"86,9","86,5","0,4"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"89,4",86,"88,1","88,7","84,4",,,,"89,4","84,4",5
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"86,3","83,6","89,5","88,5","88,5",,,,"89,5","83,6","5,9"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"87,7","85,7","89,3",86,"87,4",,,,"89,3","85,7","3,6"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"85,6","86,8","84,7","85,3",87,,,,87,"84,7","2,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"88,3","85,6",85,"91,3","84,8",,,,"91,3","84,8","6,5"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"86,9","86,4","84,5","83,5","86,9",,,,"86,9","83,5","3,4"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,93,93,93,93,94,93,,,94,93,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"82,8","81,6",82,"82,4","82,4",,,,"82,8","81,6","1,2"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"81,9","82,7","81,9","81,2","81,9",,,,"82,7","81,2","1,5"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"81,7","82,5",82,82,82,,,,"82,5","81,7","0,8"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"81,7",82,"81,7","81,8","81,6",,,,82,"81,6","0,4"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"81,3","81,3","81,3","81,3","81,3",,,,"81,3","81,3",0
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"81,3","81,3","81,3","81,7","81,3",,,,"81,7","81,3","0,4"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"82,3","82,3","82,3","82,3","82,3",,,,"82,3","82,3",0
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"82,3","82,7","83,1","82,7","82,3",,,,"83,1","82,3","0,8"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"81,7","81,7","81,3","81,3","81,3",,,,"81,7","81,3","0,4"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"82,1","81,7","82,1","81,7","81,7",,,,"82,1","81,7","0,4"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,92,92,92,93,94,92,,,94,92,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,86,86,86,,,,,,86,86,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,86,87,86,,,,,,87,86,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"75,4","75,8","75,4","76,2","74,7",,,,"76,2","74,7","1,5"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"73,8","74,5","74,3","78,3","77,9",,,,"78,3","73,8","4,5"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,86,86,86,,,,,,86,86,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,85,85,87,,,,,,87,85,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"84,6","84,7","84,6","84,6","84,8",,,,"84,8","84,6","0,2"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,85,"85,2","85,8","84,8","84,7",,,,"85,8","84,7","1,1"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"85,2","85,8","84,8","84,7","85,1",,,,"85,8","84,7","1,1"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"85,4","85,2","85,7","85,8","85,1",,,,"85,8","85,1","0,7"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"84,6","84,5","82,9","84,7","84,2",,,,"84,7","82,9","1,8"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,85,"84,8","85,2","85,2","84,7",,,,"85,2","84,7","0,5"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"84,4","83,9","84,4","84,2","84,5",,,,"84,5","83,9","0,6"
