Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"64,2","57,4","65,6",65,"64,6",,"65,6","57,4","8,2"
УЗЕ Бар БЕСС,1.2,✓ OK,"61,7","55,7","60,9","66,7",70,,70,"55,7","14,3"
УЗЕ Бар БЕСС,2.1,✓ OK,63,"60,6",63,"67,5","60,1",,"67,5","60,1","7,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"68,8","64,1","62,9","54,2","65,5",,"68,8","54,2","14,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"58,7","57,1","67,8","60,2","71,5",,"71,5","57,1","14,4"
УЗЕ Бар БЕСС,3.2,✓ OK,"63,4","63,6","63,2","63,9",65,,65,"63,2","1,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"63,9","69,6","55,2","61,1","66,8",,"69,6","55,2","14,4"
УЗЕ Бар БЕСС,4.2,✓ OK,"61,4","63,6","58,2",65,66,,66,"58,2","7,8"
УЗЕ Бар БЕСС,5.1,✓ OK,"66,4","67,5","59,3",65,"63,3",,"67,5","59,3","8,2"
УЗЕ Бар БЕСС,5.2,✓ OK,"59,4","63,7","64,6","71,7","55,1",,"71,7","55,1","16,6"
УЗЕ Бар БЕСС,6.1,✓ OK,"62,1","58,9","64,8","65,4","63,6",,"65,4","58,9","6,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"61,2","67,2","61,4","67,5","69,6",,"69,6","61,2","8,4"
УЗЕ Бар БЕСС,7.1,✓ OK,"63,2",64,66,"62,4","61,5",,66,"61,5","4,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"64,3","64,7","64,1","64,2","64,3",,"64,7","64,1","0,6"
УЗЕ Бар БЕСС,8.1,✓ OK,"59,6","63,3","61,9","71,1","58,3",,"71,1","58,3","12,8"
УЗЕ Бар БЕСС,8.2,✓ OK,"63,6","64,7","68,8",66,"51,5",,"68,8","51,5","17,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"51,2","68,4","62,7","66,5",65,,"68,4","51,2","17,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"64,2","66,2","66,8","67,7","57,8",,"67,7","57,8","9,9"
УЗЕ Бар БЕСС,10.1,✓ OK,30,29,29,,,,30,29,1
УЗЕ Бар БЕСС,10.2,✓ OK,30,28,30,,,,30,28,2
УЗЕ Бар БЕСС,11.1,✓ OK,43,43,45,,,,45,43,2
УЗЕ Бар БЕСС,11.2,✓ OK,44,44,44,,,,44,44,0
УЗЕ Бар БЕСС,12.1,✓ OK,44,45,44,,,,45,44,1
УЗЕ Бар БЕСС,12.2,✓ OK,44,43,43,,,,44,43,1
УЗЕ Бар БЕСС,13.1,✓ OK,44,44,44,,,,44,44,0
УЗЕ Бар БЕСС,13.2,✓ OK,44,44,43,,,,44,43,1
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"57,8","63,6","60,1",57,"58,9",,"63,6",57,"6,6"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"58,7","63,9","51,5",56,"89,8",,"89,8","51,5","38,3"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"58,7","57,5","58,6","59,3","58,7",,"59,3","57,5","1,8"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"57,5","56,3","57,4","58,2","57,5",,"58,2","56,3","1,9"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"64,3","62,9","52,6","61,4",52,,"64,3",52,"12,3"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"64,5","51,6",61,"61,6","61,8",,"64,5","51,6","12,9"
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"59,7","58,1","58,9","59,4","56,9",,"59,7","56,9","2,8"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"58,6","57,1","60,8","59,8","60,1",,"60,8","57,1","3,7"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"59,8","58,3","60,9","58,5","59,8",,"60,9","58,3","2,6"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"58,1","58,9","57,7","58,1",59,,59,"57,7","1,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"60,6","59,1","58,8","62,4","58,9",,"62,4","58,8","3,6"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"59,8","58,3",58,"61,6","58,1",,"61,6",58,"3,6"
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,87,87,86,83,86,,87,83,4
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"67,7","54,1","61,4","65,2","64,8",,"67,7","54,1","13,6"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"60,3","71,5","59,3","50,5",60,,"71,5","50,5",21
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"62,2","68,3",61,55,62,,"68,3",55,"13,3"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"69,3","69,1","69,4",71,"63,8",,71,"63,8","7,2"
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"80,2","78,8","79,8","78,1","81,8",,"81,8","78,1","3,7"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"80,7","79,8","78,4","83,4",76,,"83,4",76,"7,4"
