Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,Макс,Мін,різниця
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"82,2","80,2","74,5","79,1","81,4",,"82,2","74,5","7,7"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"74,9","80,2",83,"83,1","78,4",,"83,1","74,9","8,2"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"82,5","80,3","78,3","79,2","77,9",,"82,5","77,9","4,6"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"82,3","76,1","84,2","77,3","79,6",,"84,2","76,1","8,1"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,30,29,30,31,30,,31,29,2
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,52,52,53,,,,53,52,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,54,53,54,,,,54,53,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,68,"70,8","69,3","76,8","66,8",,"76,8","66,8",10
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"66,4","66,9","66,7","75,7","75,8",,"75,8","66,4","9,4"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,56,57,56,,,,57,56,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,55,55,55,,,,55,55,0
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"78,3","80,3","75,3","80,2",78,,"80,3","75,3",5
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"78,6","82,2","86,2","73,6","75,6",,"86,2","73,6","12,6"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"80,3","85,5","73,5","76,8","79,4",,"85,5","73,5",12
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"80,3","72,1",78,"83,7","86,7",,"86,7","72,1","14,6"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"84,4",86,"58,2","84,6",83,,86,"58,2","27,8"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"80,1",74,"80,3","82,1","78,5",,"82,1",74,"8,1"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,83,"68,7","82,2",76,"84,9",,"84,9","68,7","16,2"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"78,7","85,3","82,9","69,3","81,8",,"85,3","69,3",16
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,30,30,32,33,33,,33,30,3
