Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"72,4","72,4","72,4","72,4",72,,,,"72,4",72,"0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,"71,5","71,4","71,8","71,9",72,,,,72,"71,4","0,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"71,6","71,6","71,5",72,"71,6",,,,72,"71,5","0,5"
УЗЕ Бар БЕСС,2.2,✓ OK,"72,3",72,"72,1","71,7","72,3",,,,"72,3","71,7","0,6"
УЗЕ Бар БЕСС,3.1,✓ OK,72,"71,8","72,4",72,"72,1",,,,"72,4","71,8","0,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"72,9","72,7","72,4","72,4","72,4",,,,"72,9","72,4","0,5"
УЗЕ Бар БЕСС,4.1,✓ OK,"72,8","73,3","72,6","72,7","72,9",,,,"73,3","72,6","0,7"
УЗЕ Бар БЕСС,4.2,✓ OK,71,"71,1","70,9","71,9","71,4",,,,"71,9","70,9",1
УЗЕ Бар БЕСС,5.1,✓ OK,"72,6","72,8","72,1","72,4","72,4",,,,"72,8","72,1","0,7"
УЗЕ Бар БЕСС,5.2,✓ OK,"71,7","72,1","72,1","72,9","72,1",,,,"72,9","71,7","1,2"
УЗЕ Бар БЕСС,6.1,✓ OK,"72,7","71,8","71,9","71,8","71,9",,,,"72,7","71,8","0,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"71,6",72,"71,9","71,9",72,,,,72,"71,6","0,4"
УЗЕ Бар БЕСС,7.1,✓ OK,72,"72,2","72,2","72,1","71,8",,,,"72,2","71,8","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,72,"72,4","72,4",72,"72,4",,,,"72,4",72,"0,4"
УЗЕ Бар БЕСС,8.1,✓ OK,"71,8","71,8","71,8","71,8","71,7",,,,"71,8","71,7","0,1"
УЗЕ Бар БЕСС,8.2,✓ OK,"72,1","72,1","71,7","72,1","71,7",,,,"72,1","71,7","0,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"71,6","72,2","72,1","71,8","71,8",,,,"72,2","71,6","0,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"72,4","72,5","72,5","72,9","73,4",,,,"73,4","72,4",1
УЗЕ Бар БЕСС,10.1,✓ OK,55,54,54,,,,,,55,54,1
УЗЕ Бар БЕСС,10.2,✓ OK,55,54,55,,,,,,55,54,1
УЗЕ Бар БЕСС,11.1,✓ OK,53,54,55,,,,,,55,53,2
УЗЕ Бар БЕСС,11.2,✓ OK,54,54,54,,,,,,54,54,0
УЗЕ Бар БЕСС,12.1,✓ OK,54,54,54,,,,,,54,54,0
УЗЕ Бар БЕСС,12.2,✓ OK,55,55,55,,,,,,55,55,0
УЗЕ Бар БЕСС,13.1,✓ OK,54,54,54,,,,,,54,54,0
УЗЕ Бар БЕСС,13.2,✓ OK,54,54,54,,,,,,54,54,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"79,9","83,2","80,6","79,2",80,,,,"83,2","79,2",4
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"79,7","81,7","77,1","79,3","79,7",,,,"81,7","77,1","4,6"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"79,7","79,6","79,4","79,9","79,6",,,,"79,9","79,4","0,5"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"82,2",79,82,"78,2",79,,,,"82,2","78,2",4
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"83,4","82,3","76,5","79,6","76,2",,,,"83,4","76,2","7,2"
