Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"85,6","78,8","86,9","86,4",86,,,"86,9","78,8","8,1"
УЗЕ Бар БЕСС,1.2,✓ OK,"81,7","75,6","81,2","87,5","90,8",,,"90,8","75,6","15,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"84,3","81,1","84,3","88,8","80,6",,,"88,8","80,6","8,2"
УЗЕ Бар БЕСС,2.2,✓ OK,"90,6","85,6","84,3","75,3","87,2",,,"90,6","75,3","15,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"79,4","78,2","88,5","80,9","91,9",,,"91,9","78,2","13,7"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,8","84,8",84,"85,4","86,1",,,"86,1","83,8","2,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"84,7","91,2","75,6","81,9",88,,,"91,2","75,6","15,6"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,1","84,7","78,9","86,5","87,1",,,"87,1","78,9","8,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"87,2","88,3","79,3","85,8","83,7",,,"88,3","79,3",9
УЗЕ Бар БЕСС,5.2,✓ OK,"80,2","84,8","85,8","94,5","76,2",,,"94,5","76,2","18,3"
УЗЕ Бар БЕСС,6.1,✓ OK,"82,7","80,3","86,2","86,7","84,9",,,"86,7","80,3","6,4"
УЗЕ Бар БЕСС,6.2,✓ OK,"81,6","88,4","81,5","88,7","90,4",,,"90,4","81,5","8,9"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,9","85,1","87,1","82,7","82,2",,,"87,1","82,2","4,9"
УЗЕ Бар БЕСС,7.2,✓ OK,85,"85,4","85,2","84,5","84,3",,,"85,4","84,3","1,1"
УЗЕ Бар БЕСС,8.1,✓ OK,"79,9","84,1","82,6","92,2","79,1",,,"92,2","79,1","13,1"
УЗЕ Бар БЕСС,8.2,✓ OK,84,"85,8","89,5","87,1","71,1",,,"89,5","71,1","18,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"71,1","89,2","83,1","86,9","85,4",,,"89,2","71,1","18,1"
УЗЕ Бар БЕСС,9.2,✓ OK,"84,5","86,5","87,1","88,5","77,7",,,"88,5","77,7","10,8"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,29,30,30,,,,,30,29,1
УЗЕ Бар БЕСС,11.2,✓ OK,30,30,30,,,,,30,30,0
УЗЕ Бар БЕСС,12.1,✓ OK,29,30,31,,,,,31,29,2
УЗЕ Бар БЕСС,12.2,✓ OK,29,29,29,,,,,29,29,0
УЗЕ Бар БЕСС,13.1,✓ OK,29,29,30,,,,,30,29,1
УЗЕ Бар БЕСС,13.2,✓ OK,29,29,29,,,,,29,29,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"79,4","85,5","81,5","78,4","80,1",,,"85,5","78,4","7,1"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"81,7","87,7","74,4","79,2","82,9",,,"87,7","74,4","13,3"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"81,3","79,7","80,8","82,2",81,,,"82,2","79,7","2,5"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"81,9","80,2","82,6",80,"80,6",,,"82,6",80,"2,6"
