Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"80,6","86,7","82,8","79,7","81,4",,,"86,7","79,7",7
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,83,"88,9","75,6","80,5","84,1",,,"88,9","75,6","13,3"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"82,6",81,82,"83,5","82,2",,,"83,5",81,"2,5"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"83,2","81,5","83,9","81,3","81,9",,,"83,9","81,3","2,6"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,5","88,6","77,4","86,9","76,6",,,"88,6","76,6",12
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"86,4","73,1",83,84,"84,1",,,"86,4","73,1","13,3"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"82,9","80,5","82,2","82,7","79,1",,,"82,9","79,1","3,8"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,81,"78,5","83,1","82,2","82,6",,,"83,1","78,5","4,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,82,"80,2","83,1","80,4",82,,,"83,1","80,2","2,9"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,80,"80,7","79,2","79,7","81,3",,,"81,3","79,2","2,1"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"82,4","80,4","79,9","84,6","79,6",,,"84,6","79,6",5
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"81,2","80,8","79,7",79,"81,4",,,"81,4",79,"2,4"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,71,71,70,68,70,,,71,68,3
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"89,9","74,8","82,9","87,1","86,7",,,"89,9","74,8","15,1"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"82,1","94,9","81,6","72,4","82,6",,,"94,9","72,4","22,5"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"84,8","91,3","82,9","76,5","84,7",,,"91,3","76,5","14,8"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"84,5","83,9","84,7","86,2","78,2",,,"86,2","78,2",8
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"79,1","77,3","78,4","76,7","80,3",,,"80,3","76,7","3,6"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"79,6","78,7","77,3","82,6","74,5",,,"82,6","74,5","8,1"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"81,1","79,1","72,5","77,2","80,3",,,"81,1","72,5","8,6"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,73,"78,7","81,9","82,4","77,2",,,"82,4",73,"9,4"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"81,5","78,9",77,"77,9","76,6",,,"81,5","76,6","4,9"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"81,5","74,5","83,8","76,1","78,4",,,"83,8","74,5","9,3"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,89,87,92,87,87,,,92,87,5
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,85,85,85,,,,,85,85,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,86,86,85,,,,,86,85,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"70,7",74,"72,2",80,"69,5",,,80,"69,5","10,5"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"69,4","70,1","69,9","80,1","80,5",,,"80,5","69,4","11,1"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,86,85,84,,,,,86,84,2
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,85,85,85,,,,,85,85,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"80,3","82,8","77,3","82,6",80,,,"82,8","77,3","5,5"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"80,7","84,2","88,2","74,9","77,3",,,"88,2","74,9","13,3"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"82,9","88,4","74,9","78,6","81,6",,,"88,4","74,9","13,5"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"81,6","72,7",79,85,"89,1",,,"89,1","72,7","16,4"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"85,9",88,57,"86,6","84,6",,,88,57,31
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"82,2","75,7","82,4","84,1","80,6",,,"84,1","75,7","8,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,85,"70,1","83,9","77,7","86,9",,,"86,9","70,1","16,8"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"80,4","87,3",85,"70,6","83,4",,,"87,3","70,6","16,7"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,90,90,88,93,93,,,93,88,5
