Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"77,2","77,2","77,1","77,2","77,5",,,"77,5","77,1","0,4"
УЗЕ Бар БЕСС,1.2,✓ OK,"78,8","78,8","78,8","78,8","79,1",,,"79,1","78,8","0,3"
УЗЕ Бар БЕСС,2.1,✓ OK,78,"78,4","78,4","78,3","78,3",,,"78,4",78,"0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,78,"78,3",78,"77,9","78,3",,,"78,3","77,9","0,4"
УЗЕ Бар БЕСС,3.1,✓ OK,"76,1","76,1","76,4","76,1","76,5",,,"76,5","76,1","0,4"
УЗЕ Бар БЕСС,3.2,✓ OK,"76,4",76,"75,7","75,7","75,7",,,"76,4","75,7","0,7"
УЗЕ Бар БЕСС,4.1,✓ OK,"76,5","76,1","76,4","76,3","76,3",,,"76,5","76,1","0,4"
УЗЕ Бар БЕСС,4.2,✓ OK,"75,9","75,7","75,7","75,7","75,9",,,"75,9","75,7","0,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"75,5","75,8","75,8","75,9","75,5",,,"75,9","75,5","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"78,6","78,2","78,6","78,4","78,4",,,"78,6","78,2","0,4"
УЗЕ Бар БЕСС,6.1,✓ OK,"76,5",76,"76,4",76,"76,4",,,"76,5",76,"0,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"77,3","77,3","77,6","77,5","79,1",,,"79,1","77,3","1,8"
УЗЕ Бар БЕСС,7.1,✓ OK,"75,7",76,"75,7",76,"76,1",,,"76,1","75,7","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"76,1","76,1","76,1","75,7",76,,,"76,1","75,7","0,4"
УЗЕ Бар БЕСС,8.1,✓ OK,"75,6",76,"75,7",76,76,,,76,"75,6","0,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"76,1","76,1",76,"76,1","75,7",,,"76,1","75,7","0,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"75,6","75,6",76,76,76,,,76,"75,6","0,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"77,5","77,5","77,5","77,2","77,5",,,"77,5","77,2","0,3"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,77,77,78,,,,,78,77,1
УЗЕ Бар БЕСС,11.2,✓ OK,78,77,77,,,,,78,77,1
УЗЕ Бар БЕСС,12.1,✓ OK,75,76,78,,,,,78,75,3
УЗЕ Бар БЕСС,12.2,✓ OK,77,77,77,,,,,77,77,0
УЗЕ Бар БЕСС,13.1,✓ OK,77,77,78,,,,,78,77,1
УЗЕ Бар БЕСС,13.2,✓ OK,77,77,77,,,,,77,77,0
,,,,,,,,,,,,
,,,,,,,,,,,,
