Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"74,5","67,4","75,8","74,9","74,5",,,"75,8","67,4","8,4"
УЗЕ Бар БЕСС,1.2,✓ OK,"71,3","65,3","70,9","77,1","79,9",,,"79,9","65,3","14,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"73,1","70,3",73,"77,1","69,7",,,"77,1","69,7","7,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"80,1","75,1","73,8","65,2","76,7",,,"80,1","65,2","14,9"
УЗЕ Бар БЕСС,3.1,✓ OK,68,"66,8","77,3","69,5","80,6",,,"80,6","66,8","13,8"
УЗЕ Бар БЕСС,3.2,✓ OK,"72,1","72,7","72,3","73,4","74,5",,,"74,5","72,1","2,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"73,8","79,5","64,7","70,6","76,7",,,"79,5","64,7","14,8"
УЗЕ Бар БЕСС,4.2,✓ OK,"70,8","73,4","68,1","75,2","76,2",,,"76,2","68,1","8,1"
УЗЕ Бар БЕСС,5.1,✓ OK,"76,1","77,1","68,6","74,7","72,6",,,"77,1","68,6","8,5"
УЗЕ Бар БЕСС,5.2,✓ OK,"69,1","73,7","75,1","82,9","65,2",,,"82,9","65,2","17,7"
УЗЕ Бар БЕСС,6.1,✓ OK,"71,3","68,5","74,8",75,"73,2",,,75,"68,5","6,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"70,4","76,8","70,6","77,5","79,9",,,"79,9","70,4","9,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"72,1","73,3","75,3","71,3","70,4",,,"75,3","70,4","4,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"72,9","73,3","73,1","72,4","72,5",,,"73,3","72,4","0,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"68,5","72,4","70,9","80,2","67,3",,,"80,2","67,3","12,9"
УЗЕ Бар БЕСС,8.2,✓ OK,"72,6","74,1","77,9","75,8",60,,,"77,9",60,"17,9"
УЗЕ Бар БЕСС,9.1,✓ OK,61,"78,4","72,8","76,6","74,6",,,"78,4",61,"17,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"73,4","75,4",76,"77,3","67,1",,,"77,3","67,1","10,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,32,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,12,12,12,,,,,12,12,0
УЗЕ Бар БЕСС,11.2,✓ OK,12,12,12,,,,,12,12,0
УЗЕ Бар БЕСС,12.1,✓ OK,12,12,13,,,,,13,12,1
УЗЕ Бар БЕСС,12.2,✓ OK,12,12,12,,,,,12,12,0
УЗЕ Бар БЕСС,13.1,✓ OK,12,13,12,,,,,13,12,1
УЗЕ Бар БЕСС,13.2,✓ OK,12,12,12,,,,,12,12,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"75,9","81,7","77,8","75,1","76,6",,,"81,7","75,1","6,6"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,76,"81,6","68,9","73,7","77,2",,,"81,6","68,9","12,7"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,76,"74,4","75,2","76,7","75,7",,,"76,7","74,4","2,3"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,77,"75,5","77,6",75,"75,8",,,"77,6",75,"2,6"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,6","83,2","72,3","81,4","71,5",,,"88,6","71,5","17,1"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"81,7","68,5","78,2","78,9",79,,,"81,7","68,5","13,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"78,1","75,6","77,3","77,7","74,4",,,"78,1","74,4","3,7"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"75,9",74,"78,1","77,5","77,4",,,"78,1",74,"4,1"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"77,5",76,"78,5","76,2","77,4",,,"78,5",76,"2,5"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"75,3","76,1","74,6","75,3","76,2",,,"76,2","74,6","1,6"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"77,6","75,7","75,4","79,8","75,1",,,"79,8","75,1","4,7"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"77,2",77,"75,8","75,1","77,6",,,"77,6","75,1","2,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,44,43,43,41,43,,,44,41,3
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"47,2","32,3","40,1","44,4",44,,,"47,2","32,3","14,9"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"39,7","51,8","38,7","29,4","39,4",,,"51,8","29,4","22,4"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,42,"48,6","40,6",34,"42,3",,,"48,6",34,"14,6"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"42,1","41,6","41,9","43,5","35,8",,,"43,5","35,8","7,7"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"70,9","68,8","70,3","68,5","72,1",,,"72,1","68,5","3,6"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,71,"69,8","68,8","73,7",66,,,"73,7",66,"7,7"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"72,6","70,2","64,2","68,8","71,4",,,"72,6","64,2","8,4"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,65,"70,6","73,4","73,8","69,5",,,"73,8",65,"8,8"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"73,1","70,6","68,6","69,6","68,2",,,"73,1","68,2","4,9"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,73,"66,5","75,3","67,6","69,6",,,"75,3","66,5","8,8"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,88,88,89,89,89,,,89,88,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,81,81,81,,,,,81,81,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,81,82,81,,,,,82,81,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"64,1","67,3","65,6","73,4","62,9",,,"73,4","62,9","10,5"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"62,7","63,4","63,2","72,6",73,,,73,"62,7","10,3"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,80,82,80,,,,,82,80,2
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,82,81,81,,,,,82,81,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"74,7","77,1","71,8","76,6","74,4",,,"77,1","71,8","5,3"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,75,"78,5","82,9","69,7","71,6",,,"82,9","69,7","13,2"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"76,6","81,7",69,"72,3","75,3",,,"81,7",69,"12,7"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"76,2","67,3","73,6","79,6","82,5",,,"82,5","67,3","15,2"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"79,8","81,4","51,9","79,6",78,,,"81,4","51,9","29,5"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,76,"69,9","76,2","78,4","74,4",,,"78,4","69,9","8,5"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"78,4","64,3","77,7","71,5","80,7",,,"80,7","64,3","16,4"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"74,9","81,5","79,2","64,8","77,6",,,"81,5","64,8","16,7"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,89,90,90,91,91,,,91,89,2
