Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"91,6","90,9","91,6","91,5","91,5",,,,"91,6","90,9","0,7"
УЗЕ Бар БЕСС,1.2,✓ OK,"89,7","89,1","89,5","90,3","90,9",,,,"90,9","89,1","1,8"
УЗЕ Бар БЕСС,2.1,✓ OK,"90,2","89,5","90,2",91,"89,1",,,,91,"89,1","1,9"
УЗЕ Бар БЕСС,2.2,✓ OK,92,"91,7","91,3",90,"91,7",,,,92,90,2
УЗЕ Бар БЕСС,3.1,✓ OK,"90,1","90,1","90,6",90,"90,4",,,,"90,6",90,"0,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"91,6","91,3","91,1","91,8","91,9",,,,"91,9","91,1","0,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"91,5","92,3","90,5",91,"91,7",,,,"92,3","90,5","1,8"
УЗЕ Бар БЕСС,4.2,✓ OK,"89,5","89,9","89,1","90,9","90,7",,,,"90,9","89,1","1,8"
УЗЕ Бар БЕСС,5.1,✓ OK,"92,2","92,4","90,5",92,"91,7",,,,"92,4","90,5","1,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"90,3","91,1","91,6","93,9","90,6",,,,"93,9","90,3","3,6"
УЗЕ Бар БЕСС,6.1,✓ OK,"91,3","90,8","92,3","91,9","91,5",,,,"92,3","90,8","1,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"89,9","90,3","89,8","90,7","90,9",,,,"90,9","89,8","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"90,9","91,8",92,"91,1","91,1",,,,92,"90,9","1,1"
УЗЕ Бар БЕСС,7.2,✓ OK,92,92,"91,9","91,2","90,5",,,,92,"90,5","1,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"89,7","90,3","90,1","90,8","89,3",,,,"90,8","89,3","1,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"90,1","90,1","90,6","90,6","88,3",,,,"90,6","88,3","2,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"89,2","90,8","90,3","90,4","90,1",,,,"90,8","89,2","1,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"91,6","91,6","91,7","92,2","91,3",,,,"92,2","91,3","0,9"
УЗЕ Бар БЕСС,10.1,✓ OK,26,24,25,,,,,,26,24,2
УЗЕ Бар БЕСС,10.2,✓ OK,24,24,24,,,,,,24,24,0
УЗЕ Бар БЕСС,11.1,✓ OK,24,25,26,,,,,,26,24,2
УЗЕ Бар БЕСС,11.2,✓ OK,25,25,24,,,,,,25,24,1
УЗЕ Бар БЕСС,12.1,✓ OK,24,24,25,,,,,,25,24,1
УЗЕ Бар БЕСС,12.2,✓ OK,24,25,24,,,,,,25,24,1
УЗЕ Бар БЕСС,13.1,✓ OK,25,25,24,,,,,,25,24,1
УЗЕ Бар БЕСС,13.2,✓ OK,25,24,25,,,,,,25,24,1


