Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,Макс,Мін,різниця
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,88,88,89,,,,89,88,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,88,88,89,,,,89,88,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"77,7","80,5",79,86,"76,6",,86,"76,6","9,4"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"76,2",77,"76,8","85,1","85,2",,"85,2","76,2",9
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,88,89,88,,,,89,88,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,88,88,89,,,,89,88,1
,,,,,,,,,,,
,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"81,3","83,4","78,8","83,3","80,7",,"83,4","78,8","4,6"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"80,9","84,4","88,4","76,3","78,3",,"88,4","76,3","12,1"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"82,9","87,6",76,"79,3","81,6",,"87,6",76,"11,6"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"82,5","74,4","79,9","85,9",88,,88,"74,4","13,6"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"85,7","87,3","60,9","85,9","84,3",,"87,3","60,9","26,4"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"82,7","76,6","82,9","84,6","80,7",,"84,6","76,6",8
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"85,1","71,8","84,3","78,6",87,,87,"71,8","15,2"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"80,8",87,85,"71,9","83,9",,87,"71,9","15,1"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,91,91,92,93,92,,93,91,2
