Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"82,9","82,9","82,9","82,9","82,9",,,"82,9","82,9",0
УЗЕ Бар БЕСС,1.2,✓ OK,83,83,"83,5","83,7","84,1",,,"84,1",83,"1,1"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,8","82,8","82,9",83,"82,6",,,83,"82,6","0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"84,1","84,1","84,1","83,6","84,3",,,"84,3","83,6","0,7"
УЗЕ Бар БЕСС,3.1,✓ OK,83,"83,2","82,7","82,9","82,7",,,"83,2","82,7","0,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,3","83,7","83,4","83,7","83,6",,,"83,7","83,3","0,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"83,4","83,4","82,7","83,2","83,2",,,"83,4","82,7","0,7"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,4","82,3","82,3",83,"82,8",,,83,"82,3","0,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"83,8","83,9","83,4","83,8","83,4",,,"83,9","83,4","0,5"
УЗЕ Бар БЕСС,5.2,✓ OK,"83,8","83,6","84,1","84,8","83,9",,,"84,8","83,6","1,2"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,6","82,5",83,"82,6","82,8",,,"83,6","82,5","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"82,2","82,3","82,2","82,6","84,1",,,"84,1","82,2","1,9"
УЗЕ Бар БЕСС,7.1,✓ OK,"82,8",83,"82,9","82,9","83,1",,,"83,1","82,8","0,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"83,3","83,1",83,"82,8","82,9",,,"83,3","82,8","0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,82,"82,4","82,2","82,2","81,9",,,"82,4","81,9","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"81,5","81,5","81,5","81,8","80,9",,,"81,8","80,9","0,9"
УЗЕ Бар БЕСС,9.1,✓ OK,82,82,"82,2","82,2","82,1",,,"82,2",82,"0,2"
УЗЕ Бар БЕСС,9.2,✓ OK,84,84,84,"84,1","84,2",,,"84,2",84,"0,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,28,28,28,,,,,28,28,0
УЗЕ Бар БЕСС,11.2,✓ OK,28,28,28,,,,,28,28,0
УЗЕ Бар БЕСС,12.1,✓ OK,28,28,28,,,,,28,28,0
УЗЕ Бар БЕСС,12.2,✓ OK,29,29,28,,,,,29,28,1
УЗЕ Бар БЕСС,13.1,✓ OK,28,28,28,,,,,28,28,0
УЗЕ Бар БЕСС,13.2,✓ OK,28,28,28,,,,,28,28,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"97,6","97,6","97,6","97,6","97,6",,,"97,6","97,6",0
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,98,"97,6","97,6",98,"97,6",,,98,"97,6","0,4"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"97,6","97,6",98,"97,6","97,6",,,98,"97,6","0,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"97,6","97,6","97,6","97,6","97,6",,,"97,6","97,6",0
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","97,1","97,2","97,1","97,1",,,"97,2","88,4","8,8"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"97,6",98,"97,6","97,6","97,6",,,98,"97,6","0,4"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"85,8","82,8","84,5","85,1","81,2",,,"85,8","81,2","4,6"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"83,2","80,9","85,9",85,85,,,"85,9","80,9",5
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"84,3","82,7",86,83,"84,4",,,86,"82,7","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,82,"83,2","81,1","81,7","83,4",,,"83,4","81,1","2,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"85,3","83,1","82,5","87,9","82,2",,,"87,9","82,2","5,7"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"83,6","83,2","81,9","80,8","83,7",,,"83,7","80,8","2,9"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,78,77,77,77,77,,,78,77,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"89,9","73,6",82,"86,8","86,3",,,"89,9","73,6","16,3"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"81,7","93,7","81,1","71,5","82,2",,,"93,7","71,5","22,2"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"83,9","91,3","82,4","75,5","84,2",,,"91,3","75,5","15,8"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"83,9","83,4","83,8","85,8","77,5",,,"85,8","77,5","8,3"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,85,"83,2","84,3","82,6","86,6",,,"86,6","82,6",4
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"85,5","84,6","83,2","88,6","80,4",,,"88,6","80,4","8,2"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"86,7","84,7","77,8","83,2","85,9",,,"86,7","77,8","8,9"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,79,"84,6","87,8","88,7","83,2",,,"88,7",79,"9,7"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,88,85,83,84,"82,6",,,88,"82,6","5,4"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"87,1","80,1","89,7","81,6","83,9",,,"89,7","80,1","9,6"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,87,85,87,85,86,,,87,85,2
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,73,73,73,,,,,73,73,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,73,74,73,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,95,"98,3","96,5","99,2","93,8",,,"99,2","93,8","5,4"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"93,2","93,9","94,1","99,2","99,2",,,"99,2","93,2",6
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,73,73,72,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,73,72,73,,,,,73,72,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"83,5","86,4","80,6","85,9","83,2",,,"86,4","80,6","5,8"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"83,4","87,2","91,8","77,9","80,2",,,"91,8","77,9","13,9"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"85,6","91,3","77,3","80,9",84,,,"91,3","77,3",14
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"84,3","75,3","81,7","87,9",91,,,91,"75,3","15,7"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"89,5","91,6","59,5","90,1","87,8",,,"91,6","59,5","32,1"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"85,2","78,7","85,3","87,8","83,2",,,"87,8","78,7","9,1"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"87,8","72,8",87,"80,5","90,1",,,"90,1","72,8","17,3"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"83,2","90,4","88,2","73,1","86,7",,,"90,4","73,1","17,3"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,92,92,90,93,93,,,93,90,3
