Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"67,4","66,8","67,4","67,4","67,2",,,,"67,4","66,8","0,6"
УЗЕ Бар БЕСС,1.2,✓ OK,"65,6","65,2","65,3","66,1","66,9",,,,"66,9","65,2","1,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"66,5","65,9","66,5","67,2","65,7",,,,"67,2","65,7","1,5"
УЗЕ Бар БЕСС,2.2,✓ OK,"67,6","67,7","67,3","66,4",68,,,,68,"66,4","1,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"65,2","65,2","66,2",65,"66,7",,,,"66,7",65,"1,7"
УЗЕ Бар БЕСС,3.2,✓ OK,"67,9","67,2",67,"67,6","67,5",,,,"67,9",67,"0,9"
УЗЕ Бар БЕСС,4.1,✓ OK,"67,6","67,8","66,7","67,4","67,8",,,,"67,8","66,7","1,1"
УЗЕ Бар БЕСС,4.2,✓ OK,"65,3","65,6",65,"66,8","66,3",,,,"66,8",65,"1,8"
УЗЕ Бар БЕСС,5.1,✓ OK,"67,9","68,1","66,5","67,7","67,2",,,,"68,1","66,5","1,6"
УЗЕ Бар БЕСС,5.2,✓ OK,"66,5","66,7","67,2","69,3","66,2",,,,"69,3","66,2","3,1"
УЗЕ Бар БЕСС,6.1,✓ OK,"67,3","66,3","67,5",67,"67,1",,,,"67,5","66,3","1,2"
УЗЕ Бар БЕСС,6.2,✓ OK,"66,1","66,5","66,2","66,8","66,9",,,,"66,9","66,1","0,8"
УЗЕ Бар БЕСС,7.1,✓ OK,"66,9","67,6","67,8","67,2","66,9",,,,"67,8","66,9","0,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"67,9","67,8","67,9","66,8","66,7",,,,"67,9","66,7","1,2"
УЗЕ Бар БЕСС,8.1,✓ OK,"65,6","66,4","66,3","66,8","65,4",,,,"66,8","65,4","1,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"66,2","66,2","66,6","66,5","64,8",,,,"66,6","64,8","1,8"
УЗЕ Бар БЕСС,9.1,✓ OK,"64,8",66,66,"66,4",66,,,,"66,4","64,8","1,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"67,1","67,5","67,5","67,4","67,2",,,,"67,5","67,1","0,4"
УЗЕ Бар БЕСС,10.1,✓ OK,42,40,41,,,,,,42,40,2
УЗЕ Бар БЕСС,10.2,✓ OK,41,40,41,,,,,,41,40,1
УЗЕ Бар БЕСС,11.1,✓ OK,40,40,41,,,,,,41,40,1
УЗЕ Бар БЕСС,11.2,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,12.1,✓ OK,40,40,42,,,,,,42,40,2
УЗЕ Бар БЕСС,12.2,✓ OK,40,40,42,,,,,,42,40,2
УЗЕ Бар БЕСС,13.1,✓ OK,40,40,41,,,,,,41,40,1
УЗЕ Бар БЕСС,13.2,✓ OK,40,41,40,,,,,,41,40,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"70,6","71,8","71,4",71,71,,,,"71,8","70,6","1,2"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"70,8","71,6",70,"71,2","70,8",,,,"71,6",70,"1,6"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"71,2","70,8","71,1","71,6","71,1",,,,"71,6","70,8","0,8"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"71,6","71,2","71,6","70,8","70,8",,,,"71,6","70,8","0,8"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,2","63,1","62,4","62,7","61,9",,,,"88,2","61,9","26,3"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"71,3","70,7","70,9","71,3","71,1",,,,"71,3","70,7","0,6"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"69,8","66,1","68,2","69,2","64,5",,,,"69,8","64,5","5,3"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"66,4","63,4",70,"68,6",69,,,,70,"63,4","6,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"67,9","65,5","69,6","65,8",68,,,,"69,6","65,5","4,1"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"65,7","66,9","64,4","65,4","67,5",,,,"67,5","64,4","3,1"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"69,2","66,2","65,2","72,2","65,4",,,,"72,2","65,2",7
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"67,4",67,"65,1","63,8","67,5",,,,"67,5","63,8","3,7"


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,71,71,71,71,69,71,,,71,69,2
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"74,6","72,6","73,8","73,8","74,2",,,,"74,6","72,6",2
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"73,3","74,9","73,3","72,6","73,3",,,,"74,9","72,6","2,3"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"73,4","74,2","73,7","72,9","73,7",,,,"74,2","72,9","1,3"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"73,4","73,7","73,4","73,4","73,3",,,,"73,7","73,3","0,4"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"72,2","71,8","71,8","71,8","72,2",,,,"72,2","71,8","0,4"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"72,2","71,8","71,4","72,2","71,4",,,,"72,2","71,4","0,8"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"70,7","70,3","69,9","69,9","70,3",,,,"70,7","69,9","0,8"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"71,6","72,3","72,3","72,3",72,,,,"72,3","71,6","0,7"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"72,2","72,2","71,8","71,8","71,8",,,,"72,2","71,8","0,4"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,73,"72,2",73,"72,2","72,2",,,,73,"72,2","0,8"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,57,57,55,58,58,56,,,58,55,3


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,73,73,74,,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,73,74,73,,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"72,8","73,3","72,9","74,1","72,2",,,,"74,1","72,2","1,9"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"70,9",72,"71,8","76,1","76,1",,,,"76,1","70,9","5,2"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,75,75,75,,,,,,75,75,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,75,75,76,,,,,,76,75,1


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"72,7","72,9","72,3","72,7","72,9",,,,"72,9","72,3","0,6"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"73,2","73,7",74,"72,6","72,5",,,,74,"72,5","1,5"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"73,6","74,1","73,2",73,"73,8",,,,"74,1",73,"1,1"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"74,5","74,2","74,8","74,8","74,9",,,,"74,9","74,2","0,7"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"73,3","73,7","70,1","73,5","72,9",,,,"73,7","70,1","3,6"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"73,3","73,1","73,9",74,"73,4",,,,74,"73,1","0,9"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"73,2","72,3","73,2","72,6","73,3",,,,"73,3","72,3",1
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"74,2","75,2","74,7","73,3","74,2",,,,"75,2","73,3","1,9"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,51,53,53,52,55,55,,,55,51,4
