Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Зорянська БЕСС,УЗЕ-01,✓ OK,100.0,77.0,77.0,,,,,,77.0,77.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-02,✓ OK,100.0,68.0,70.0,,,,,,70.0,68.0,2.0
УЗЕ Зорянська БЕСС,УЗЕ-03,✓ OK,100.0,69.0,69.0,,,,,,69.0,69.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-04,✓ OK,100.0,71.0,69.0,,,,,,71.0,69.0,2.0
УЗЕ Зорянська БЕСС,УЗЕ-06,✓ OK,100.0,70.0,69.0,,,,,,70.0,69.0,1.0
УЗЕ Зорянська БЕСС,УЗЕ-07,✓ OK,100.0,93.0,75.0,,,,,,93.0,75.0,18.0
УЗЕ Зорянська БЕСС,УЗЕ-08,✓ OK,100.0,59.0,77.0,,,,,,77.0,59.0,18.0
УЗЕ Зорянська БЕСС,УЗЕ-09,✓ OK,100.0,69.0,69.0,,,,,,69.0,69.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-10,✓ OK,100.0,78.0,79.0,,,,,,79.0,78.0,1.0
УЗЕ Зорянська БЕСС,PCS-5,✓ OK,82.0,83.0,84.0,83.0,81.0,,,,84.0,81.0,3.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-1.1,✓ OK,90.9,88.8,91.2,90.2,89.6,,,,91.2,88.8,2.4
УЗЕ Бар БЕСС,PCS-2.1,✓ OK,89.9,89.3,89.0,91.0,88.2,,,,91.0,88.2,2.8
УЗЕ Бар БЕСС,PCS-2.2,✓ OK,90.5,90.5,90.0,88.0,90.8,,,,90.8,88.0,2.8
УЗЕ Бар БЕСС,PCS-1.2,✓ OK,89.9,89.9,89.9,89.9,90.3,,,,90.3,89.9,0.4
УЗЕ Бар БЕСС,PCS-3.1,✓ OK,89.0,88.9,89.8,89.6,90.7,,,,90.7,88.9,1.8
УЗЕ Бар БЕСС,PCS-3.2,✓ OK,90.0,88.5,89.9,91.2,91.3,,,,91.3,88.5,2.8
УЗЕ Бар БЕСС,PCS-4.1,✓ OK,90.4,91.3,88.0,90.0,90.7,,,,91.3,88.0,3.3
УЗЕ Бар БЕСС,PCS-4.2,✓ OK,88.7,89.7,88.8,90.8,91.2,,,,91.2,88.7,2.5
УЗЕ Бар БЕСС,PCS-5.1,✓ OK,90.8,91.1,89.5,90.3,89.8,,,,91.1,89.5,1.6
УЗЕ Бар БЕСС,PCS-5.2,✓ OK,88.6,89.0,90.0,93.4,88.2,,,,93.4,88.2,5.2
УЗЕ Бар БЕСС,PCS-6.1,✓ OK,89.1,89.1,91.4,90.5,89.4,,,,91.4,89.1,2.3
УЗЕ Бар БЕСС,PCS-6.2,✓ OK,89.8,90.7,89.4,89.8,90.3,,,,90.7,89.4,1.3
УЗЕ Бар БЕСС,PCS-7.1,✓ OK,89.3,90.3,90.5,90.7,89.1,,,,90.7,89.1,1.6
УЗЕ Бар БЕСС,PCS-7.2,✓ OK,90.8,90.3,90.4,89.8,88.6,,,,90.8,88.6,2.2
УЗЕ Бар БЕСС,PCS-8.1,✓ OK,90.3,90.3,90.3,90.3,90.3,,,,90.3,90.3,0.0
УЗЕ Бар БЕСС,PCS-8.2,✓ OK,90.7,90.3,90.7,90.7,90.3,,,,90.7,90.3,0.4
УЗЕ Бар БЕСС,PCS-9.1,✓ OK,82.7,93.6,89.5,93.4,90.4,,,,93.6,82.7,10.9
УЗЕ Бар БЕСС,PCS-9.2,✓ OK,89.9,91.6,90.2,93.3,87.0,,,,93.3,87.0,6.3
УЗЕ Бар БЕСС,PCS-10.1,✓ OK,52.0,51.0,51.0,,,,,,52.0,51.0,1.0
УЗЕ Бар БЕСС,PCS-10.2,✓ OK,46.0,49.0,49.0,,,,,,49.0,46.0,3.0
УЗЕ Бар БЕСС,PCS-11.1,✓ OK,47.0,49.0,51.0,,,,,,51.0,47.0,4.0
УЗЕ Бар БЕСС,PCS-11.2,✓ OK,51.0,51.0,50.0,,,,,,51.0,50.0,1.0
УЗЕ Бар БЕСС,PCS-12.1,✓ OK,51.0,50.0,50.0,,,,,,51.0,50.0,1.0
УЗЕ Бар БЕСС,PCS-12.2,✓ OK,50.0,50.0,49.0,,,,,,50.0,49.0,1.0
УЗЕ Бар БЕСС,PCS-13.1,✓ OK,50.0,51.0,50.0,,,,,,51.0,50.0,1.0
УЗЕ Бар БЕСС,PCS-13.2,✓ OK,51.0,50.0,49.0,,,,,,51.0,49.0,2.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,90.0,90.0,90.0,89.9,89.8,,,,90.0,89.8,0.2
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,89.4,94.6,84.8,88.0,88.1,,,,94.6,84.8,9.8
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,89.4,86.4,87.7,90.0,89.7,,,,90.0,86.4,3.6
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,91.9,87.4,90.9,86.0,86.2,,,,91.9,86.0,5.9
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,91.6,94.4,84.9,88.5,84.8,,,,94.4,84.8,9.6
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,90.5,90.1,90.0,90.2,90.6,,,,90.6,90.0,0.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,89.0,89.0,89.0,89.0,85.0,89.0,,,89.0,85.0,4.0
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,88.0,82.4,85.4,87.6,86.6,,,,88.0,82.4,5.6
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,85.6,88.9,84.9,83.0,86.1,,,,88.9,83.0,5.9
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,86.3,88.1,85.6,84.0,85.9,,,,88.1,84.0,4.1
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,86.4,85.8,87.3,86.8,82.8,,,,87.3,82.8,4.5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,87.4,85.5,86.9,85.4,87.5,,,,87.5,85.4,2.1
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,88.1,87.7,86.2,90.9,82.7,,,,90.9,82.7,8.2
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,88.8,86.3,82.7,85.6,87.5,,,,88.8,82.7,6.1
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,83.7,89.3,90.3,90.9,85.7,,,,90.9,83.7,7.2
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,90.8,87.9,86.6,85.8,87.0,,,,90.8,85.8,5.0
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,90.1,84.2,92.3,85.9,86.9,,,,92.3,84.2,8.1
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,89.0,89.0,89.0,94.0,89.0,89.0,,,94.0,89.0,5.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,90.0,88.0,91.0,,,,,,91.0,88.0,3.0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,91.0,91.0,90.0,,,,,,91.0,90.0,1.0
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,82.9,82.7,83.0,83.5,83.2,,,,83.5,82.7,0.8
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,78.8,80.3,80.4,89.0,89.5,,,,89.5,78.8,10.7
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,90.0,90.0,90.0,,,,,,90.0,90.0,0.0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,90.0,90.0,90.0,,,,,,90.0,90.0,0.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Знам'янська БЕСС,PCS-1.1,✓ OK,90.1,87.8,89.4,89.9,86.6,,,,90.1,86.6,3.5
УЗЕ Знам'янська БЕСС,PCS-1.2,✓ OK,89.4,86.9,91.2,90.7,91.6,,,,91.6,86.9,4.7
УЗЕ Знам'янська БЕСС,PCS-2.1,✓ OK,89.1,88.3,91.5,88.6,90.4,,,,91.5,88.3,3.2
УЗЕ Знам'янська БЕСС,PCS-2.2,✓ OK,88.6,88.6,87.1,87.8,89.1,,,,89.1,87.1,2.0
УЗЕ Знам'янська БЕСС,PCS-3.1,✓ OK,91.0,88.5,88.2,92.0,88.3,,,,92.0,88.2,3.8
УЗЕ Знам'янська БЕСС,PCS-3.2,✓ OK,89.1,88.5,86.8,85.8,89.3,,,,89.3,85.8,3.5
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,87.9,89.7,87.2,89.6,89.8,,,,89.8,87.2,2.6
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,87.7,87.7,91.1,84.9,87.2,,,,91.1,84.9,6.2
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,89.6,92.9,86.0,87.3,89.2,,,,92.9,86.0,6.9
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,88.8,85.2,88.7,90.2,93.5,,,,93.5,85.2,8.3
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,90.8,91.9,82.6,91.1,88.9,,,,91.9,82.6,9.3
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,89.6,87.3,89.9,90.1,89.4,,,,90.1,87.3,2.8
