Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"84,6","83,4","84,7","84,3","83,9",,,,"84,7","83,4","1,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"82,6","81,8","82,1","83,1","83,5",,,,"83,5","81,8","1,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,4",82,"82,4","83,6","81,5",,,,"83,6","81,5","2,1"
УЗЕ Бар БЕСС,2.2,✓ OK,"84,9",84,"84,1","82,9","84,7",,,,"84,9","82,9",2
УЗЕ Бар БЕСС,3.1,✓ OK,"82,7","82,9","83,2","82,6","83,7",,,,"83,7","82,6","1,1"
УЗЕ Бар БЕСС,3.2,✓ OK,84,"83,8",84,"84,3","84,3",,,,"84,3","83,8","0,5"
УЗЕ Бар БЕСС,4.1,✓ OK,"84,1",85,83,"83,8","84,6",,,,85,83,2
УЗЕ Бар БЕСС,4.2,✓ OK,"82,1","82,7","81,7","83,4","83,4",,,,"83,4","81,7","1,7"
УЗЕ Бар БЕСС,5.1,✓ OK,85,"85,2","83,6","84,4","83,9",,,,"85,2","83,6","1,6"
УЗЕ Бар БЕСС,5.2,✓ OK,82,"82,8","83,2","85,9","82,8",,,,"85,9",82,"3,9"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,9","83,1","84,4","84,3","83,6",,,,"84,4","83,1","1,3"
УЗЕ Бар БЕСС,6.2,✓ OK,"82,4","83,1","82,4","83,1","83,5",,,,"83,5","82,4","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,7","84,2","84,2","83,8","83,4",,,,"84,2","83,4","0,8"
УЗЕ Бар БЕСС,7.2,✓ OK,"84,2","84,5","84,2","83,7","83,4",,,,"84,5","83,4","1,1"
УЗЕ Бар БЕСС,8.1,✓ OK,82,"82,7","82,8","83,2",82,,,,"83,2",82,"1,2"
УЗЕ Бар БЕСС,8.2,✓ OK,"82,8",83,"83,2","83,2","81,1",,,,"83,2","81,1","2,1"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,5","83,4","82,4","83,2","82,5",,,,"83,4","81,5","1,9"
УЗЕ Бар БЕСС,9.2,✓ OK,"84,1","84,5","84,4","84,9",84,,,,"84,9",84,"0,9"
УЗЕ Бар БЕСС,10.1,✓ OK,35,31,32,,,,,,35,31,4
УЗЕ Бар БЕСС,10.2,✓ OK,34,31,33,,,,,,34,31,3
УЗЕ Бар БЕСС,11.1,✓ OK,33,34,31,,,,,,34,31,3
УЗЕ Бар БЕСС,11.2,✓ OK,33,32,33,,,,,,33,32,1
УЗЕ Бар БЕСС,12.1,✓ OK,31,31,32,,,,,,32,31,1
УЗЕ Бар БЕСС,12.2,✓ OK,31,32,32,,,,,,32,31,1
УЗЕ Бар БЕСС,13.1,✓ OK,31,31,32,,,,,,32,31,1
УЗЕ Бар БЕСС,13.2,✓ OK,32,31,31,,,,,,32,31,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"85,1","88,9","86,2","84,4","85,3",,,,"88,9","84,4","4,5"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"84,8","87,5",81,84,84,,,,"87,5",81,"6,5"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"85,2","84,3","84,7","85,6","84,9",,,,"85,6","84,3","1,3"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"88,5","84,3","88,2","83,4","84,4",,,,"88,5","83,4","5,1"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,8","88,6","81,4","85,3","81,3",,,,"88,8","81,3","7,5"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,5","83,2","85,8","86,1","86,5",,,,"88,5","83,2","5,3"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"88,2","84,5","86,9","87,7",83,,,,"88,2",83,"5,2"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"85,1","81,9","88,3","87,1","87,5",,,,"88,3","81,9","6,4"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,86,"83,9","88,2","84,5",86,,,,"88,2","83,9","4,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"84,5","85,2","83,2","83,5","85,8",,,,"85,8","83,2","2,6"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"86,8","84,4","83,6","89,5","83,1",,,,"89,5","83,1","6,4"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"85,8","84,7","83,5",82,"85,4",,,,"85,8",82,"3,8"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,57,55,,,,,,57,55,2
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,32,32,32,31,32,31,,,32,31,1
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,59,57,,,,,,59,57,2
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,50,59,,,,,,59,50,9
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,99,72,72,,,,,,72,72,0
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,99,70,70,,,,,,70,70,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,56,55,,,,,,56,55,1
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,58,56,,,,,,58,56,2
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,56,58,,,,,,58,56,2
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,99,38,45,,,,,,45,38,7


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,94,94,93,93,94,93,,,94,93,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"82,9","79,4","81,3","82,2","82,3",,,,"82,9","79,4","3,5"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"81,3",87,"81,1","77,8","81,5",,,,87,"77,8","9,2"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"81,8","85,4","81,6","78,1","82,1",,,,"85,4","78,1","7,3"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"81,5","81,9","82,1","83,3","79,7",,,,"83,3","79,7","3,6"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,83,"82,4","82,7","81,9",83,,,,83,"81,9","1,1"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"83,4","82,9","81,4","85,6","79,5",,,,"85,6","79,5","6,1"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"84,2","82,7","78,6",82,"83,6",,,,"84,2","78,6","5,6"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"79,3","83,3","85,1","85,6","81,3",,,,"85,6","79,3","6,3"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"85,3","83,3","82,2","82,1","81,7",,,,"85,3","81,7","3,6"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"84,7","80,1","86,2","81,3","82,7",,,,"86,2","80,1","6,1"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,89,89,89,93,90,89,,,93,89,4


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,84,84,84,,,,,,84,84,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,85,85,86,,,,,,86,85,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"72,6","75,6","73,2","81,3",71,,,,"81,3",71,"10,3"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,69,"70,7","70,7","82,9","83,3",,,,"83,3",69,"14,3"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,85,85,85,,,,,,85,85,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,80,80,85,,,,,,85,80,5


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"80,7","81,5","80,5","81,3","81,6",,,,"81,6","80,5","1,1"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"82,3","82,7","84,2",81,"81,5",,,,"84,2",81,"3,2"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"82,6","83,9","80,7","81,3",82,,,,"83,9","80,7","3,2"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"82,3","81,5","82,2","83,1","84,4",,,,"84,4","81,5","2,9"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,82,"82,4","76,5","82,1","81,1",,,,"82,4","76,5","5,9"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"82,3","81,1","82,1","82,9",82,,,,"82,9","81,1","1,8"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"81,8","79,5","81,3",80,"81,6",,,,"81,8","79,5","2,3"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"81,8","83,7",83,"80,7","82,6",,,,"83,7","80,7",3
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,88,88,88,89,93,88,,,93,88,5
