Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"80,9","80,5","81,1","80,9","80,3",,,,"81,1","80,3","0,8"
УЗЕ Бар БЕСС,1.2,✓ OK,"79,3","78,9","79,2","79,8","80,2",,,,"80,2","78,9","1,3"
УЗЕ Бар БЕСС,2.1,✓ OK,"79,1","79,1","79,5","79,9","78,7",,,,"79,9","78,7","1,2"
УЗЕ Бар БЕСС,2.2,✓ OK,81,"80,4","80,4","79,7","80,6",,,,81,"79,7","1,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"79,5","79,4","80,1","79,5","80,1",,,,"80,1","79,4","0,7"
УЗЕ Бар БЕСС,3.2,✓ OK,"80,8","80,7","80,7","81,1","81,1",,,,"81,1","80,7","0,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"80,8","81,8","80,2","80,7","81,4",,,,"81,8","80,2","1,6"
УЗЕ Бар БЕСС,4.2,✓ OK,"79,4","79,8","79,1","80,7","80,2",,,,"80,7","79,1","1,6"
УЗЕ Бар БЕСС,5.1,✓ OK,"81,3","81,3","80,4","80,6","80,7",,,,"81,3","80,4","0,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"79,1","79,9","79,9","81,9","79,5",,,,"81,9","79,1","2,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"80,7","79,5","80,7","80,3",80,,,,"80,7","79,5","1,2"
УЗЕ Бар БЕСС,6.2,✓ OK,"79,2","79,5","79,5","79,9","80,2",,,,"80,2","79,2",1
УЗЕ Бар БЕСС,7.1,✓ OK,"80,3","80,9","80,9","80,4","80,1",,,,"80,9","80,1","0,8"
УЗЕ Бар БЕСС,7.2,✓ OK,"80,8","81,1","81,2","80,6","80,8",,,,"81,2","80,6","0,6"
УЗЕ Бар БЕСС,8.1,✓ OK,"78,8","78,8","78,8","79,2","78,4",,,,"79,2","78,4","0,8"
УЗЕ Бар БЕСС,8.2,✓ OK,"79,3","79,3","79,2","79,6","78,3",,,,"79,6","78,3","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"78,3","79,5","79,2","79,3","79,3",,,,"79,5","78,3","1,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"80,7","80,8","80,8","81,1","81,1",,,,"81,1","80,7","0,4"
УЗЕ Бар БЕСС,10.1,✓ OK,52,48,49,,,,,,52,48,4
УЗЕ Бар БЕСС,10.2,✓ OK,51,49,50,,,,,,51,49,2
УЗЕ Бар БЕСС,11.1,✓ OK,49,49,49,,,,,,49,49,0
УЗЕ Бар БЕСС,11.2,✓ OK,49,49,50,,,,,,50,49,1
УЗЕ Бар БЕСС,12.1,✓ OK,51,50,50,,,,,,51,50,1
УЗЕ Бар БЕСС,12.2,✓ OK,49,50,50,,,,,,50,49,1
УЗЕ Бар БЕСС,13.1,✓ OK,50,50,50,,,,,,50,50,0
УЗЕ Бар БЕСС,13.2,✓ OK,50,49,49,,,,,,50,49,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"82,1","85,7","83,1","81,8","82,4",,,,"85,7","81,8","3,9"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"81,9","84,3","78,6","81,5","81,4",,,,"84,3","78,6","5,7"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,82,"81,4","81,5","82,1","81,7",,,,"82,1","81,4","0,7"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"84,5","81,2","84,8","80,4",81,,,,"84,8","80,4","4,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"85,5","84,8","78,4",82,"78,1",,,,"85,5","78,1","7,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,3","81,6","85,2","85,9","86,2",,,,"88,3","81,6","6,7"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"84,6","81,4","83,4","84,3",80,,,,"84,6",80,"4,6"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"82,1","79,2","84,8","83,5","83,9",,,,"84,8","79,2","5,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"83,2","81,2","84,9","81,6","82,8",,,,"84,9","81,2","3,7"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"81,2","81,9","80,2","80,5","82,2",,,,"82,2","80,2",2
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"83,7",82,81,86,"80,8",,,,86,"80,8","5,2"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"81,7","81,2","80,2","79,1","81,9",,,,"81,9","79,1","2,8"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,54,54,,,,,,54,54,0
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,43,44,43,42,44,41,,,44,41,3
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,54,54,,,,,,54,54,0
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,53,52,,,,,,53,52,1
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,100,39,39,,,,,,39,39,0
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,39,39,,,,,,39,39,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,51,50,,,,,,51,50,1
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,52,51,,,,,,52,51,1
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,51,52,,,,,,52,51,1
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,100,38,50,,,,,,50,38,12


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,90,91,91,90,91,90,,,91,90,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"75,9","73,4","74,4","75,4","75,1",,,,"75,9","73,4","2,5"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"74,1",79,"73,8",71,"74,5",,,,79,71,8
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"75,1","77,9","74,4","71,2","74,9",,,,"77,9","71,2","6,7"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"74,8",75,"75,3",76,"72,8",,,,76,"72,8","3,2"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"78,6","78,4","78,7","78,3","78,6",,,,"78,7","78,3","0,4"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"79,4","78,9","77,7","81,6","75,9",,,,"81,6","75,9","5,7"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"80,6","79,1","75,4",78,"79,6",,,,"80,6","75,4","5,2"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"75,3","78,9","80,7","81,2","77,7",,,,"81,2","75,3","5,9"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"80,9","78,9","77,8",78,"77,6",,,,"80,9","77,6","3,3"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"80,7","76,4","81,8","77,3","78,3",,,,"81,8","76,4","5,4"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,91,91,91,91,92,90,,,92,90,2


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,69,69,69,,,,,,69,69,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,71,70,70,,,,,,71,70,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"55,1","57,7","56,1",63,"54,3",,,,63,"54,3","8,7"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"53,5","54,8","54,8","65,8","66,2",,,,"66,2","53,5","12,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,68,69,68,,,,,,69,68,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,68,68,68,,,,,,68,68,0


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"74,1","74,4","73,8","74,3","74,5",,,,"74,5","73,8","0,7"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"74,7","74,8","75,9","73,9",74,,,,"75,9","73,9",2
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"75,5",76,74,"74,2","74,5",,,,76,74,2
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"74,8","74,4","74,7","75,2",76,,,,76,"74,4","1,6"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,75,75,"71,1","74,7","74,1",,,,75,"71,1","3,9"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"74,5","73,7","74,7",75,"74,2",,,,75,"73,7","1,3"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"74,4","72,9","74,3","73,3","74,1",,,,"74,4","72,9","1,5"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"74,2","75,7",75,"73,9",75,,,,"75,7","73,9","1,8"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,87,88,86,89,90,88,,,90,86,4
