Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"83,3","83,2","83,3","83,2","83,3",,,"83,3","83,2","0,1"
УЗЕ Бар БЕСС,1.2,✓ OK,83,"82,9","83,1","83,2","83,7",,,"83,7","82,9","0,8"
УЗЕ Бар БЕСС,2.1,✓ OK,"83,2","83,2","83,3","83,4",83,,,"83,4",83,"0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"83,6","83,7","83,7","83,2","83,9",,,"83,9","83,2","0,7"
УЗЕ Бар БЕСС,3.1,✓ OK,"83,4","83,6","83,1","83,3","83,1",,,"83,6","83,1","0,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,2","83,3",83,"83,7","83,6",,,"83,7",83,"0,7"
УЗЕ Бар БЕСС,4.1,✓ OK,"83,8","83,8","83,5","83,6","83,6",,,"83,8","83,5","0,3"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,8","83,1","82,6","83,8","83,5",,,"83,8","82,6","1,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"83,8","83,9",83,"83,4",83,,,"83,9",83,"0,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"83,8","83,6","84,1","84,4","83,9",,,"84,4","83,6","0,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,9","82,9","83,4",83,"83,2",,,"83,9","82,9",1
УЗЕ Бар БЕСС,6.2,✓ OK,"82,6","82,7","82,6",83,"83,7",,,"83,7","82,6","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,2","83,4","83,3","83,3","83,5",,,"83,5","83,2","0,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"83,7","83,5","83,4","83,2","83,2",,,"83,7","83,2","0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"82,4","82,8","82,6","82,6","82,3",,,"82,8","82,3","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"81,9","81,9","81,8","82,2","81,3",,,"82,2","81,3","0,9"
УЗЕ Бар БЕСС,9.1,✓ OK,"82,4","82,4","82,5","82,6","82,5",,,"82,6","82,4","0,2"
УЗЕ Бар БЕСС,9.2,✓ OK,84,84,84,"84,1","84,2",,,"84,2",84,"0,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,24,24,24,,,,,24,24,0
УЗЕ Бар БЕСС,11.2,✓ OK,24,24,24,,,,,24,24,0
УЗЕ Бар БЕСС,12.1,✓ OK,24,24,24,,,,,24,24,0
УЗЕ Бар БЕСС,12.2,✓ OK,24,24,24,,,,,24,24,0
УЗЕ Бар БЕСС,13.1,✓ OK,24,24,24,,,,,24,24,0
УЗЕ Бар БЕСС,13.2,✓ OK,24,24,24,,,,,24,24,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"88,2","88,2","88,6","88,2","88,2",,,"88,6","88,2","0,4"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"88,2","87,8","87,8","88,2","87,8",,,"88,2","87,8","0,4"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"87,8","87,8","88,2","87,8","87,8",,,"88,2","87,8","0,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"87,8","87,8","87,8","87,8","87,8",,,"87,8","87,8",0
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4",88,"88,1",88,88,,,"88,4",88,"0,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"89,3","89,7","89,3","89,3","89,3",,,"89,7","89,3","0,4"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"85,8","82,4","84,1","85,1","81,2",,,"85,8","81,2","4,6"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"82,8","80,5","85,5","84,6","84,6",,,"85,5","80,5",5
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"83,9","82,3","85,6","82,6",84,,,"85,6","82,3","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"81,6","82,8","81,1","81,6",83,,,83,"81,1","1,9"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"85,2",83,"82,4","87,8","82,2",,,"87,8","82,2","5,6"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"83,2","82,8","81,5","80,7","83,3",,,"83,3","80,7","2,6"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,78,77,77,77,77,,,78,77,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"89,9","73,9","82,4","86,8","86,6",,,"89,9","73,9",16
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"81,6","93,7","81,1","71,4","82,1",,,"93,7","71,4","22,3"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"83,9","91,6","82,8","75,5","84,2",,,"91,6","75,5","16,1"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"83,8","83,4","84,2","85,7","77,5",,,"85,7","77,5","8,2"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,85,"83,2","84,3","82,6","86,6",,,"86,6","82,6",4
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"85,5","84,6","83,2","88,6","80,4",,,"88,6","80,4","8,2"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"86,7","84,7","77,8","83,2","85,9",,,"86,7","77,8","8,9"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,79,85,"88,2","88,7","83,1",,,"88,7",79,"9,7"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"87,9","85,3","83,4","84,3","82,6",,,"87,9","82,6","5,3"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,87,80,"89,7","81,6","83,9",,,"89,7",80,"9,7"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,87,85,88,85,86,,,88,85,3
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,73,72,72,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,73,74,73,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"95,4","99,1","96,9","99,2","94,6",,,"99,2","94,6","4,6"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"93,9","94,3","94,5","99,2","99,2",,,"99,2","93,9","5,3"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,72,73,72,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,73,72,72,,,,,73,72,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"83,5","85,9","80,6","85,9","83,2",,,"85,9","80,6","5,3"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"83,4","87,2","91,8","77,8","80,1",,,"91,8","77,8",14
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"85,6","91,3","77,3","80,9","83,9",,,"91,3","77,3",14
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"84,3","75,3","81,7","87,9","91,3",,,"91,3","75,3",16
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"89,5","91,6","59,1","89,7","87,7",,,"91,6","59,1","32,5"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"85,2","78,6","85,3","87,4","82,8",,,"87,4","78,6","8,8"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"87,7","72,8","86,6","80,4","90,1",,,"90,1","72,8","17,3"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"83,1","90,4","88,2",73,"86,7",,,"90,4",73,"17,4"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,91,92,90,93,93,,,93,90,3
