Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,86,86,"86,1",86,86,,,"86,1",86,"0,1"
УЗЕ Бар БЕСС,1.2,✓ OK,"85,4","85,3","85,5",86,86,,,86,"85,3","0,7"
УЗЕ Бар БЕСС,2.1,✓ OK,86,86,"86,1","86,2","85,8",,,"86,2","85,8","0,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"86,4","86,5","86,5",86,"86,6",,,"86,6",86,"0,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"85,7","85,9","85,8","85,6","85,5",,,"85,9","85,5","0,4"
УЗЕ Бар БЕСС,3.2,✓ OK,"85,6",86,"85,8","86,1",86,,,"86,1","85,6","0,5"
УЗЕ Бар БЕСС,4.1,✓ OK,"86,1","86,1","85,9","85,9","85,9",,,"86,1","85,9","0,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"85,5","85,5","85,4","86,1","85,9",,,"86,1","85,4","0,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"86,1","86,2","85,8","86,2","85,8",,,"86,2","85,8","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"86,2","86,4","86,8","87,2","86,2",,,"87,2","86,2",1
УЗЕ Бар БЕСС,6.1,✓ OK,"86,7","85,7","86,2","85,8","85,9",,,"86,7","85,7",1
УЗЕ Бар БЕСС,6.2,✓ OK,"84,9","85,5",85,"85,4","86,4",,,"86,4","84,9","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,86,"86,2","86,1","86,1","86,2",,,"86,2",86,"0,2"
УЗЕ Бар БЕСС,7.2,✓ OK,86,"86,2","86,2","85,9","85,6",,,"86,2","85,6","0,6"
УЗЕ Бар БЕСС,8.1,✓ OK,"84,8","85,2",85,85,"84,7",,,"85,2","84,7","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"84,3","84,3","84,2",85,"83,7",,,85,"83,7","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"85,1","85,1","84,9","85,3","85,3",,,"85,3","84,9","0,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"86,4","86,4","86,4","86,9","86,6",,,"86,9","86,4","0,5"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,19,19,20,,,,,20,19,1
УЗЕ Бар БЕСС,11.2,✓ OK,20,19,20,,,,,20,19,1
УЗЕ Бар БЕСС,12.1,✓ OK,20,19,20,,,,,20,19,1
УЗЕ Бар БЕСС,12.2,✓ OK,20,20,19,,,,,20,19,1
УЗЕ Бар БЕСС,13.1,✓ OK,19,20,19,,,,,20,19,1
УЗЕ Бар БЕСС,13.2,✓ OK,19,20,19,,,,,20,19,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,6","86,6","86,6","86,6","86,6",,,"86,6","86,6",0
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"86,3","86,3","86,3","86,7","86,3",,,"86,7","86,3","0,4"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,2","85,8","86,2","86,2","86,2",,,"86,2","85,8","0,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"86,2","86,2","86,2","86,2","86,2",,,"86,2","86,2",0
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","86,4","86,5","86,4","86,4",,,"88,4","86,4",2
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"87,7","87,8","87,7","87,8","87,7",,,"87,8","87,7","0,1"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"83,8","80,8","82,5","83,1","79,6",,,"83,8","79,6","4,2"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"81,1","78,9","83,9",83,83,,,"83,9","78,9",5
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"82,3","80,7",84,81,"82,4",,,84,"80,7","3,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,80,"81,2","79,5","80,1","81,4",,,"81,4","79,5","1,9"
