Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"83,7","81,4","80,9","86,3","80,2",,,"86,3","80,2","6,1"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"81,6","81,2","79,9","79,2","81,7",,,"81,7","79,2","2,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,77,77,77,77,77,,,77,77,0
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"88,3","72,3","80,8","85,2","85,1",,,"88,3","72,3",16
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"80,1","92,5","79,9","70,2","80,5",,,"92,5","70,2","22,3"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"82,7","90,1","81,2","73,9","82,6",,,"90,1","73,9","16,2"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"82,2","81,8","82,6","84,1","76,3",,,"84,1","76,3","7,8"
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"83,8","81,6","83,1","81,4","85,1",,,"85,1","81,4","3,7"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"84,3",83,"81,6","87,4","78,8",,,"87,4","78,8","8,6"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"86,3","83,9","77,4","82,4","85,1",,,"86,3","77,4","8,9"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"77,4",83,"86,2","86,7","81,6",,,"86,7","77,4","9,3"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"86,4","83,4","81,4","82,3",81,,,"86,4",81,"5,4"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"85,5","78,5","88,1",80,"82,3",,,"88,1","78,5","9,6"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,93,91,94,91,92,,,94,91,3
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,72,72,72,,,,,72,72,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,72,73,72,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"94,6","97,9","95,7",98,"93,4",,,98,"93,4","4,6"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"92,7","93,5","93,3","98,5",98,,,"98,5","92,7","5,8"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,71,72,71,,,,,72,71,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,72,71,71,,,,,72,71,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"99,2","99,2","99,6","99,2","99,2",,,"99,6","99,2","0,4"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"99,2","99,2","99,2","98,8","99,2",,,"99,2","98,8","0,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"99,2","99,2","99,2","99,2","99,2",,,"99,2","99,2",0
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,93,93,91,94,94,,,94,91,3
