Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"78,2","78,2","78,3","78,2","78,2",,,"78,3","78,2","0,1"
УЗЕ Бар БЕСС,1.2,✓ OK,"78,8","78,8",79,"79,1","79,5",,,"79,5","78,8","0,7"
УЗЕ Бар БЕСС,2.1,✓ OK,"78,8","78,8","78,8","78,9","78,6",,,"78,9","78,6","0,3"
УЗЕ Бар БЕСС,2.2,✓ OK,"79,5","79,5","79,6","79,1","79,7",,,"79,7","79,1","0,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"78,4","78,6","78,5","78,3","78,6",,,"78,6","78,3","0,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"79,1","79,1","78,8","79,1",79,,,"79,1","78,8","0,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"78,8","78,8","78,5","78,6","78,5",,,"78,8","78,5","0,3"
УЗЕ Бар БЕСС,4.2,✓ OK,"78,2","78,2","78,1","78,8","78,6",,,"78,8","78,1","0,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"79,1","79,2","78,8","79,2","78,8",,,"79,2","78,8","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"79,6","79,4","79,9","80,2","79,7",,,"80,2","79,4","0,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"79,4","78,3","78,8","78,4","78,6",,,"79,4","78,3","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,78,"78,1",78,"78,4","79,5",,,"79,5",78,"1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"78,6","78,8","78,7","78,7","78,9",,,"78,9","78,6","0,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"79,1","78,9","78,8","78,6","78,6",,,"79,1","78,6","0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"77,9","78,3","78,1","78,1","77,8",,,"78,3","77,8","0,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"78,2","78,2","78,1","78,4","77,5",,,"78,4","77,5","0,9"
УЗЕ Бар БЕСС,9.1,✓ OK,"77,9","77,9","78,1","78,1","78,1",,,"78,1","77,9","0,2"
УЗЕ Бар БЕСС,9.2,✓ OK,"79,6","79,6","79,6","79,7","79,8",,,"79,8","79,6","0,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,39,39,40,,,,,40,39,1
УЗЕ Бар БЕСС,11.2,✓ OK,40,39,40,,,,,40,39,1
УЗЕ Бар БЕСС,12.1,✓ OK,39,39,40,,,,,40,39,1
УЗЕ Бар БЕСС,12.2,✓ OK,39,39,39,,,,,39,39,0
УЗЕ Бар БЕСС,13.1,✓ OK,39,40,40,,,,,40,39,1
УЗЕ Бар БЕСС,13.2,✓ OK,40,40,40,,,,,40,40,0
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"83,4","89,9","85,6","82,5","84,2",,,"89,9","82,5","7,4"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"85,2","91,5","77,9","82,7","86,3",,,"91,5","77,9","13,6"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,85,"83,4","84,4","85,9","84,5",,,"85,9","83,4","2,5"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"85,9","84,2","86,6","83,6","84,1",,,"86,6","83,6",3
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","94,9","83,2","92,8","82,4",,,"94,9","82,4","12,5"
