Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"88,9","84,9","89,6","88,7","87,4",,,,"89,6","84,9","4,7"
УЗЕ Бар БЕСС,1.2,✓ OK,"85,4","82,5","84,7","88,3","89,1",,,,"89,1","82,5","6,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"86,9","85,1","87,1","90,8","83,5",,,,"90,8","83,5","7,3"
УЗЕ Бар БЕСС,2.2,✓ OK,"90,4","88,4","87,3","83,5","89,8",,,,"90,4","83,5","6,9"
УЗЕ Бар БЕСС,3.1,✓ OK,"85,3","84,9","87,6","85,5","89,7",,,,"89,7","84,9","4,8"
УЗЕ Бар БЕСС,3.2,✓ OK,88,"86,9","87,6","88,5","88,9",,,,"88,9","86,9",2
УЗЕ Бар БЕСС,4.1,✓ OK,"88,6","91,1","83,6","86,3",90,,,,"91,1","83,6","7,5"
УЗЕ Бар БЕСС,4.2,✓ OK,"85,3","88,3","84,2",90,"90,3",,,,"90,3","84,2","6,1"
УЗЕ Бар БЕСС,5.1,✓ OK,"89,8","89,8","84,1","87,6",87,,,,"89,8","84,1","5,7"
УЗЕ Бар БЕСС,5.2,✓ OK,"83,7","86,8",88,"93,5","84,1",,,,"93,5","83,7","9,8"
УЗЕ Бар БЕСС,6.1,✓ OK,"85,6","84,4","88,9","88,8","86,9",,,,"88,9","84,4","4,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"86,5","88,4","85,3","88,6","89,1",,,,"89,1","85,3","3,8"
УЗЕ Бар БЕСС,7.1,✓ OK,"86,8","88,7",90,"87,4","86,1",,,,90,"86,1","3,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"89,2","89,5","89,3","87,2","84,6",,,,"89,5","84,6","4,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"85,1","86,6","86,9","90,1","84,7",,,,"90,1","84,7","5,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"86,9","87,4","88,3","87,7","80,5",,,,"88,3","80,5","7,8"
УЗЕ Бар БЕСС,9.1,✓ OK,81,"89,1",86,"88,2","86,4",,,,"89,1",81,"8,1"
УЗЕ Бар БЕСС,9.2,✓ OK,"87,5","88,6","87,9","89,8","85,8",,,,"89,8","85,8",4
УЗЕ Бар БЕСС,10.1,✓ OK,62,62,63,,,,,,63,62,1
УЗЕ Бар БЕСС,10.2,✓ OK,63,62,62,,,,,,63,62,1
УЗЕ Бар БЕСС,11.1,✓ OK,88,89,89,,,,,,89,88,1
УЗЕ Бар БЕСС,11.2,✓ OK,88,89,87,,,,,,89,87,2
УЗЕ Бар БЕСС,12.1,✓ OK,87,89,89,,,,,,89,87,2
УЗЕ Бар БЕСС,12.2,✓ OK,90,90,89,,,,,,90,89,1
УЗЕ Бар БЕСС,13.1,✓ OK,88,88,89,,,,,,89,88,1
УЗЕ Бар БЕСС,13.2,✓ OK,89,89,89,,,,,,89,89,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,5","89,5","87,6","86,4","86,9",,,,"89,5","86,4","3,1"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,3","90,6","84,4","86,7","86,8",,,,"90,6","84,4","6,2"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"87,5",86,"86,7","87,9","87,6",,,,"87,9",86,"1,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"90,1","87,1","89,8",86,"86,5",,,,"90,1",86,"4,1"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,89,"90,5","84,6","87,3","84,4",,,,"90,5","84,4","6,1"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"89,2","85,7","86,8","87,3","88,2",,,,"89,2","85,7","3,5"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"90,3","86,6","88,8","89,9",85,,,,"90,3",85,"5,3"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"87,1","83,8","91,1","89,8","90,6",,,,"91,1","83,8","7,3"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"88,3","86,4","90,8","86,7","88,7",,,,"90,8","86,4","4,4"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"87,1","87,7","85,6","86,6","88,5",,,,"88,5","85,6","2,9"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"89,8","86,2","85,5","92,9","85,7",,,,"92,9","85,5","7,4"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"87,1","86,5",86,"85,3","86,8",,,,"87,1","85,3","1,8"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,72,73,,,,,,73,72,1
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,88,88,86,90,90,86,,,90,86,4
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,74,71,,,,,,74,71,3
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,69,73,,,,,,73,69,4
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,100,77,78,,,,,,78,77,1
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,78,77,,,,,,78,77,1
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,66,67,,,,,,67,66,1
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,72,72,,,,,,72,72,0
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,72,54,,,,,,72,54,18
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,100,69,62,,,,,,69,62,7


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,93,93,94,93,89,93,,,94,89,5
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"82,8","82,4","82,8","82,8","82,8",,,,"82,8","82,4","0,4"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"82,4","82,8","82,8",82,"82,4",,,,"82,8",82,"0,8"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"82,8","82,8","82,8","82,4","82,8",,,,"82,8","82,4","0,4"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"83,3","82,6","83,4","83,5",81,,,,"83,5",81,"2,5"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"80,4","80,7","80,7",80,"80,4",,,,"80,7",80,"0,7"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"79,9","79,8",79,"81,7","76,9",,,,"81,7","76,9","4,8"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"81,1","79,7",77,"78,4",80,,,,"81,1",77,"4,1"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"77,7","81,3","82,5",83,"79,4",,,,83,"77,7","5,3"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"82,5","80,7","79,9","79,9","80,2",,,,"82,5","79,9","2,6"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"82,3","78,5","83,5","79,4",80,,,,"83,5","78,5",5
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,93,93,93,95,95,94,,,95,93,2


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,87,88,89,,,,,,89,87,2
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,89,88,89,,,,,,89,88,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"78,6","80,9","78,9","84,2","78,2",,,,"84,2","78,2",6
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"77,1","78,2","77,8","84,1","84,8",,,,"84,8","77,1","7,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,88,89,88,,,,,,89,88,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,89,88,88,,,,,,89,88,1


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"85,2","86,1","85,1","86,1","85,6",,,,"86,1","85,1",1
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"85,6",86,86,86,86,,,,86,"85,6","0,4"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"86,5",88,"84,3","85,2","85,8",,,,88,"84,3","3,7"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"86,1","84,8",86,"86,8","89,4",,,,"89,4","84,8","4,6"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"85,7","85,7","84,9","86,1","85,7",,,,"86,1","84,9","1,2"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"86,1","85,7","86,1","86,1","85,3",,,,"86,1","85,3","0,8"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"85,7","85,3","85,3","85,7","85,7",,,,"85,7","85,3","0,4"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,86,"86,4","86,4","85,6",86,,,,"86,4","85,6","0,8"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,93,90,90,90,94,94,,,94,90,4
