Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"88,3","85,7","88,7","88,4","87,6",,,,"88,7","85,7",3
УЗЕ Бар БЕСС,1.2,✓ OK,"86,1","84,4","85,8","88,4","88,9",,,,"88,9","84,4","4,5"
УЗЕ Бар БЕСС,2.1,✓ OK,"86,9","85,2","86,5","89,2","84,6",,,,"89,2","84,6","4,6"
УЗЕ Бар БЕСС,2.2,✓ OK,"89,8","88,2","87,7",85,"89,1",,,,"89,8",85,"4,8"
УЗЕ Бар БЕСС,3.1,✓ OK,"86,1",86,"88,2","85,7","89,5",,,,"89,5","85,7","3,8"
УЗЕ Бар БЕСС,3.2,✓ OK,"88,3","87,3","87,3","88,2","88,6",,,,"88,6","87,3","1,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"87,9","89,5","84,9","86,7","88,7",,,,"89,5","84,9","4,6"
УЗЕ Бар БЕСС,4.2,✓ OK,85,"86,9","84,5","88,5","88,7",,,,"88,7","84,5","4,2"
УЗЕ Бар БЕСС,5.1,✓ OK,"89,1","89,3","84,9","87,8","87,6",,,,"89,3","84,9","4,4"
УЗЕ Бар БЕСС,5.2,✓ OK,"84,3","86,3","87,2","94,8","84,6",,,,"94,8","84,3","10,5"
УЗЕ Бар БЕСС,6.1,✓ OK,"86,8","85,4","88,9","88,5","87,7",,,,"88,9","85,4","3,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"85,9","87,6","85,8",88,"88,9",,,,"88,9","85,8","3,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"86,9","88,3","89,2",87,"86,6",,,,"89,2","86,6","2,6"
УЗЕ Бар БЕСС,7.2,✓ OK,89,89,"88,9","87,2","85,1",,,,89,"85,1","3,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"84,7","85,9","85,7","88,5","84,5",,,,"88,5","84,5",4
УЗЕ Бар БЕСС,8.2,✓ OK,"87,1","87,1",88,"87,9","82,3",,,,88,"82,3","5,7"
УЗЕ Бар БЕСС,9.1,✓ OK,"82,7","88,4","86,3","87,9","86,7",,,,"88,4","82,7","5,7"
УЗЕ Бар БЕСС,9.2,✓ OK,"87,7","88,1","88,5","89,3","86,4",,,,"89,3","86,4","2,9"
УЗЕ Бар БЕСС,10.1,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,10.2,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,11.1,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,11.2,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,12.1,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,12.2,✓ OK,40,41,40,,,,,,41,40,1
УЗЕ Бар БЕСС,13.1,✓ OK,40,40,40,,,,,,40,40,0
УЗЕ Бар БЕСС,13.2,✓ OK,40,41,40,,,,,,41,40,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"88,7","91,9","89,5","88,5","89,2",,,,"91,9","88,5","3,4"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,6","90,9","85,5","87,5","87,3",,,,"90,9","85,5","5,4"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"88,2","85,9","87,6","89,3","87,9",,,,"89,3","85,9","3,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,91,"88,3","91,1","87,8","88,4",,,,"91,1","87,8","3,3"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"93,6","90,7","85,6","88,4","85,4",,,,"93,6","85,4","8,2"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"91,1","87,1","89,7","90,1","90,2",,,,"91,1","87,1",4


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"89,5","87,2","88,9","88,9","86,5",,,,"89,5","86,5",3
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"87,9",86,"89,6","88,9","89,1",,,,"89,6",86,"3,6"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"88,7","87,7",90,"87,9","88,6",,,,90,"87,7","2,3"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"88,1","88,2","87,6","87,9","88,7",,,,"88,7","87,6","1,1"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,89,"87,6","87,4","90,8","87,3",,,,"90,8","87,3","3,5"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"87,4","87,1","86,6","86,1","87,4",,,,"87,4","86,1","1,3"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,91,86,,,,,,91,86,5
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,90,90,87,87,87,82,,,90,82,8
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,98,91,,,,,,98,91,7
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,98,98,,,,,,98,98,0
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,40,93,20,,,,,,93,20,73
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,99,99,,,,,,99,99,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,59,59,,,,,,59,59,0
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,59,59,,,,,,59,59,0
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,59,59,,,,,,59,59,0
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,100,38,51,,,,,,51,38,13


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,93,92,91,90,92,90,,,93,90,3
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,85,"79,2","82,2","83,7","83,7",,,,85,"79,2","5,8"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,82,"86,4","82,1","79,9","82,4",,,,"86,4","79,9","6,5"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"83,4","86,5","83,4",81,"83,6",,,,"86,5",81,"5,5"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"83,4","83,7","83,5","84,6","82,2",,,,"84,6","82,2","2,4"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"77,2","76,1","76,6","76,4","77,7",,,,"77,7","76,1","1,6"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"77,1","76,6","75,7","78,9","74,5",,,,"78,9","74,5","4,4"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"77,7","76,8","73,6","75,9","77,3",,,,"77,7","73,6","4,1"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"74,3","77,3","78,7","78,8","76,1",,,,"78,8","74,3","4,5"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"78,6","77,2","76,6","76,8","76,1",,,,"78,6","76,1","2,5"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"79,1","75,6","79,6","76,6","77,1",,,,"79,6","75,6",4
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,90,90,88,92,91,89,,,92,88,4


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,86,86,87,,,,,,87,86,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,86,87,87,,,,,,87,86,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"79,9","82,2","80,5","85,6","78,3",,,,"85,6","78,3","7,3"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,77,"78,5","78,5","87,4","87,7",,,,"87,7",77,"10,7"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,86,87,86,,,,,,87,86,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,87,85,86,,,,,,87,85,2


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"85,9","87,2","84,7","86,8","86,2",,,,"87,2","84,7","2,5"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"86,7","88,2","90,5","83,9","84,9",,,,"90,5","83,9","6,6"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,88,"90,2","84,1","85,5","86,8",,,,"90,2","84,1","6,1"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"87,3","84,9","87,1","88,4","91,3",,,,"91,3","84,9","6,4"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"88,7","89,7","74,8","89,4","87,5",,,,"89,7","74,8","14,9"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"87,1",85,"87,7","88,4","86,7",,,,"88,4",85,"3,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"87,6","83,4",87,"85,6","88,2",,,,"88,2","83,4","4,8"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"86,7",90,"88,6","82,9","88,1",,,,90,"82,9","7,1"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,94,90,90,93,95,95,,,95,90,5
