Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"90,8","90,1","90,9","90,7","90,4",,,,"90,9","90,1","0,8"
УЗЕ Бар БЕСС,1.2,✓ OK,"88,6",88,"88,7","89,5","90,1",,,,"90,1",88,"2,1"
УЗЕ Бар БЕСС,2.1,✓ OK,"89,1","88,8","89,2","90,4","88,4",,,,"90,4","88,4",2
УЗЕ Бар БЕСС,2.2,✓ OK,"90,9","90,6","90,2","88,9",91,,,,91,"88,9","2,1"
УЗЕ Бар БЕСС,3.1,✓ OK,"88,8","88,8","89,3","88,7","89,5",,,,"89,5","88,7","0,8"
УЗЕ Бар БЕСС,3.2,✓ OK,"90,8","90,4","90,3",91,"91,1",,,,"91,1","90,3","0,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"90,7",91,"89,2","89,7","90,4",,,,91,"89,2","1,8"
УЗЕ Бар БЕСС,4.2,✓ OK,"88,2",89,"88,3",90,"90,2",,,,"90,2","88,2",2
УЗЕ Бар БЕСС,5.1,✓ OK,"90,9","91,1","89,2","90,7","90,4",,,,"91,1","89,2","1,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"89,1","89,5",90,"93,1",89,,,,"93,1",89,"4,1"
УЗЕ Бар БЕСС,6.1,✓ OK,"90,2","89,7","91,2","90,8","90,3",,,,"91,2","89,7","1,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"88,8","89,6","88,6","89,9","90,1",,,,"90,1","88,6","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,90,"90,5","91,1","89,8","89,8",,,,"91,1","89,8","1,3"
УЗЕ Бар БЕСС,7.2,✓ OK,"91,1","91,2","91,1","90,4","89,2",,,,"91,2","89,2",2
УЗЕ Бар БЕСС,8.1,✓ OK,"88,7","89,3","89,2","90,3","88,4",,,,"90,3","88,4","1,9"
УЗЕ Бар БЕСС,8.2,✓ OK,"89,6","89,5","89,7","89,7","87,4",,,,"89,7","87,4","2,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"88,1","89,7","89,2","89,6","88,9",,,,"89,7","88,1","1,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"90,8","90,8","90,9","91,4","90,2",,,,"91,4","90,2","1,2"
УЗЕ Бар БЕСС,10.1,✓ OK,53,52,53,,,,,,53,52,1
УЗЕ Бар БЕСС,10.2,✓ OK,55,53,55,,,,,,55,53,2
УЗЕ Бар БЕСС,11.1,✓ OK,52,53,54,,,,,,54,52,2
УЗЕ Бар БЕСС,11.2,✓ OK,53,53,52,,,,,,53,52,1
УЗЕ Бар БЕСС,12.1,✓ OK,51,51,52,,,,,,52,51,1
УЗЕ Бар БЕСС,12.2,✓ OK,52,53,52,,,,,,53,52,1
УЗЕ Бар БЕСС,13.1,✓ OK,52,52,52,,,,,,52,52,0
УЗЕ Бар БЕСС,13.2,✓ OK,52,52,52,,,,,,52,52,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"87,8",89,"88,1","87,8","87,7",,,,89,"87,7","1,3"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,7","88,8","86,8","87,9","87,6",,,,"88,8","86,8",2
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"88,1","87,3","87,8","88,5","87,7",,,,"88,5","87,3","1,2"
