Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Зорянська БЕСС,УЗЕ-01,✓ OK,100.0,72.0,72.0,,,,,,72.0,72.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-02,✓ OK,100.0,66.0,66.0,,,,,,66.0,66.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-03,✓ OK,100.0,64.0,64.0,,,,,,64.0,64.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-04,✓ OK,100.0,65.0,63.0,,,,,,65.0,63.0,2.0
УЗЕ Зорянська БЕСС,УЗЕ-06,✓ OK,100.0,63.0,63.0,,,,,,63.0,63.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-07,✓ OK,100.0,66.0,66.0,,,,,,66.0,66.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-08,✓ OK,100.0,65.0,61.0,,,,,,65.0,61.0,4.0
УЗЕ Зорянська БЕСС,УЗЕ-09,✓ OK,100.0,66.0,66.0,,,,,,66.0,66.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-10,✓ OK,100.0,75.0,75.0,,,,,,75.0,75.0,0.0
УЗЕ Зорянська БЕСС,PCS-5,✓ OK,86.0,88.0,90.0,88.0,86.0,,,,90.0,86.0,4.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-1.1,✓ OK,83.4,81.4,83.8,82.8,82.2,,,,83.8,81.4,2.4
УЗЕ Бар БЕСС,PCS-2.1,✓ OK,81.7,81.1,80.9,83.2,80.0,,,,83.2,80.0,3.2
УЗЕ Бар БЕСС,PCS-2.2,✓ OK,83.1,83.1,82.6,80.3,83.4,,,,83.4,80.3,3.1
УЗЕ Бар БЕСС,PCS-1.2,✓ OK,81.7,81.3,81.7,81.7,82.5,,,,82.5,81.3,1.2
УЗЕ Бар БЕСС,PCS-3.1,✓ OK,80.7,80.7,82.0,81.4,82.9,,,,82.9,80.7,2.2
УЗЕ Бар БЕСС,PCS-3.2,✓ OK,82.6,80.8,82.4,83.8,84.1,,,,84.1,80.8,3.3
