Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"39,1",38,"39,2",39,"39,5",,,,"39,5",38,"1,5"
УЗЕ Бар БЕСС,1.2,✓ OK,"37,6","36,5","36,9","38,1","38,7",,,,"38,7","36,5","2,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"37,8","37,5","37,9","38,7","36,7",,,,"38,7","36,7",2
УЗЕ Бар БЕСС,2.2,✓ OK,"38,9","38,5","38,5","36,8","38,9",,,,"38,9","36,8","2,1"
УЗЕ Бар БЕСС,3.1,✓ OK,"36,9","36,4","38,5","36,7","39,9",,,,"39,9","36,4","3,5"
УЗЕ Бар БЕСС,3.2,✓ OK,"40,3","38,3","38,6","38,6","38,6",,,,"40,3","38,3",2
УЗЕ Бар БЕСС,4.1,✓ OK,"39,2","39,5","38,1","38,6","39,7",,,,"39,7","38,1","1,6"
УЗЕ Бар БЕСС,4.2,✓ OK,"37,4","37,9","36,7","38,1","38,6",,,,"38,6","36,7","1,9"
УЗЕ Бар БЕСС,5.1,✓ OK,"39,8",40,"38,5","39,7","39,3",,,,40,"38,5","1,5"
УЗЕ Бар БЕСС,5.2,✓ OK,"37,9","37,9","38,8","41,1","37,4",,,,"41,1","37,4","3,7"
УЗЕ Бар БЕСС,6.1,✓ OK,"39,2","37,9","39,4","39,1","39,4",,,,"39,4","37,9","1,5"
УЗЕ Бар БЕСС,6.2,✓ OK,"37,5","37,9","37,7","38,2","38,7",,,,"38,7","37,5","1,2"
УЗЕ Бар БЕСС,7.1,✓ OK,"38,6","39,1","39,3","39,2","39,2",,,,"39,3","38,6","0,7"
УЗЕ Бар БЕСС,7.2,✓ OK,40,"39,7","39,5","38,4","38,1",,,,40,"38,1","1,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"36,9","37,9","37,7","38,4","37,3",,,,"38,4","36,9","1,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"38,2","37,7","38,3","37,9","35,9",,,,"38,3","35,9","2,4"
