Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"86,2",86,"86,2","86,2","85,9",,,,"86,2","85,9","0,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"84,5","84,1","84,5","84,9","85,3",,,,"85,3","84,1","1,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"84,7","84,5","84,7","85,4","84,2",,,,"85,4","84,2","1,2"
УЗЕ Бар БЕСС,2.2,✓ OK,"86,4","86,4","86,4","85,7","86,6",,,,"86,6","85,7","0,9"
УЗЕ Бар БЕСС,3.1,✓ OK,"85,3","85,4","85,4","85,2","85,3",,,,"85,4","85,2","0,2"
УЗЕ Бар БЕСС,3.2,✓ OK,"86,4","86,2",86,"86,4","86,3",,,,"86,4",86,"0,4"
УЗЕ Бар БЕСС,4.1,✓ OK,"86,3","86,5","85,7","86,1","86,1",,,,"86,5","85,7","0,8"
УЗЕ Бар БЕСС,4.2,✓ OK,85,"85,2","84,9","85,9","85,8",,,,"85,9","84,9",1
УЗЕ Бар БЕСС,5.1,✓ OK,"86,6","86,7","85,9","86,4",86,,,,"86,7","85,9","0,8"
УЗЕ Бар БЕСС,5.2,✓ OK,"85,7","85,9","86,4","87,2","85,8",,,,"87,2","85,7","1,5"
УЗЕ Бар БЕСС,6.1,✓ OK,"86,5","85,6","86,4","85,9","85,9",,,,"86,5","85,6","0,9"
УЗЕ Бар БЕСС,6.2,✓ OK,"84,5","84,9","84,6","85,2","85,3",,,,"85,3","84,5","0,8"
УЗЕ Бар БЕСС,7.1,✓ OK,86,"86,3","86,5","86,1","86,2",,,,"86,5",86,"0,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"86,5","86,4","86,4",86,"85,8",,,,"86,5","85,8","0,7"
УЗЕ Бар БЕСС,8.1,✓ OK,"84,3","84,7","84,5","84,7","84,1",,,,"84,7","84,1","0,6"
УЗЕ Бар БЕСС,8.2,✓ OK,"84,8","84,8","84,8","85,1","83,8",,,,"85,1","83,8","1,3"
