Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"84,7","83,9","85,2","84,8",84,,,,"85,2","83,9","1,3"
УЗЕ Бар БЕСС,1.2,✓ OK,"82,7","81,8","82,6","83,6","83,9",,,,"83,9","81,8","2,1"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,9","82,5","82,9","83,7","81,6",,,,"83,7","81,6","2,1"
УЗЕ Бар БЕСС,2.2,✓ OK,85,"84,5","84,2","83,4","84,7",,,,85,"83,4","1,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"83,2",83,"83,3","83,1","83,8",,,,"83,8",83,"0,8"
УЗЕ Бар БЕСС,3.2,✓ OK,84,"83,9","84,1","84,4","84,4",,,,"84,4","83,9","0,5"
УЗЕ Бар БЕСС,4.1,✓ OK,"84,2","85,1","83,1","83,9","84,7",,,,"85,1","83,1",2
УЗЕ Бар БЕСС,4.2,✓ OK,"82,2","83,2","82,2","83,9","83,9",,,,"83,9","82,2","1,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"85,1","85,2","83,7","84,5","84,4",,,,"85,2","83,7","1,5"
УЗЕ Бар БЕСС,5.2,✓ OK,"82,5","83,3","83,7",86,"82,8",,,,86,"82,5","3,5"
УЗЕ Бар БЕСС,6.1,✓ OK,84,"83,6","84,9","84,4","84,1",,,,"84,9","83,6","1,3"
УЗЕ Бар БЕСС,6.2,✓ OK,"82,9","83,2","82,5","83,2","83,9",,,,"83,9","82,5","1,4"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,7","84,2","84,6","83,9","83,5",,,,"84,6","83,5","1,1"
УЗЕ Бар БЕСС,7.2,✓ OK,"84,3","84,6","84,7","83,8","83,9",,,,"84,7","83,8","0,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"82,5","82,8","82,9","83,3","82,1",,,,"83,3","82,1","1,2"
УЗЕ Бар БЕСС,8.2,✓ OK,"82,9","83,1","83,3","83,3","81,2",,,,"83,3","81,2","2,1"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,6","83,5","82,9","83,4",83,,,,"83,5","81,6","1,9"
УЗЕ Бар БЕСС,9.2,✓ OK,"84,2","84,6","84,5",85,"84,1",,,,85,"84,1","0,9"
УЗЕ Бар БЕСС,10.1,✓ OK,71,68,70,,,,,,71,68,3
УЗЕ Бар БЕСС,10.2,✓ OK,72,69,71,,,,,,72,69,3
УЗЕ Бар БЕСС,11.1,✓ OK,70,71,70,,,,,,71,70,1
УЗЕ Бар БЕСС,11.2,✓ OK,71,71,71,,,,,,71,71,0
УЗЕ Бар БЕСС,12.1,✓ OK,71,71,71,,,,,,71,71,0
УЗЕ Бар БЕСС,12.2,✓ OK,71,71,71,,,,,,71,71,0
УЗЕ Бар БЕСС,13.1,✓ OK,71,71,71,,,,,,71,71,0
УЗЕ Бар БЕСС,13.2,✓ OK,71,71,71,,,,,,71,71,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"85,6","89,4","86,6","84,9","85,8",,,,"89,4","84,9","4,5"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"85,3","87,9","81,8","84,5","84,6",,,,"87,9","81,8","6,1"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,1","84,9","85,2","86,4","85,4",,,,"86,4","84,9","1,5"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"88,9","85,2","88,9","84,1","85,2",,,,"88,9","84,1","4,8"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"89,6","89,4","82,3","86,2","81,7",,,,"89,6","81,7","7,9"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,89,"83,6","86,2","86,7","87,1",,,,89,"83,6","5,4"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"88,5",85,"87,2",88,"83,5",,,,"88,5","83,5",5
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"85,5","82,4","88,7","87,5","87,9",,,,"88,7","82,4","6,3"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"86,5","84,4","88,6","84,9","86,5",,,,"88,6","84,4","4,2"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,85,"85,6","83,8","84,4","86,4",,,,"86,4","83,8","2,6"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"87,3",85,"84,2","90,1",84,,,,"90,1",84,"6,1"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"85,9",85,"83,7",83,"85,6",,,,"85,9",83,"2,9"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,63,63,,,,,,63,63,0
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,32,32,32,30,32,30,,,32,30,2
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,72,70,,,,,,72,70,2
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,61,63,,,,,,63,61,2
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,100,76,76,,,,,,76,76,0
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,73,73,,,,,,73,73,0
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,62,62,,,,,,62,62,0
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,63,63,,,,,,63,63,0
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,63,64,,,,,,64,63,1
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,99,38,62,,,,,,62,38,24


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,93,93,93,92,93,92,,,93,92,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"81,7","78,3","80,2","81,1","81,1",,,,"81,7","78,3","3,4"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,"80,2","85,4","79,6","76,6","80,4",,,,"85,4","76,6","8,8"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"80,3","83,9","80,1","76,6","80,6",,,,"83,9","76,6","7,3"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"80,3","80,4",81,"81,8","78,2",,,,"81,8","78,2","3,6"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"82,3","81,6","82,4","81,6","82,6",,,,"82,6","81,6",1
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"83,1","82,5",81,"85,3","79,2",,,,"85,3","79,2","6,1"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"84,3","82,4","78,3","81,7","83,3",,,,"84,3","78,3",6
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"78,6","82,6","84,4","84,9",81,,,,"84,9","78,6","6,3"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"84,5","82,6","81,5","81,3","81,3",,,,"84,5","81,3","3,2"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,84,"79,4","85,5","80,6",82,,,,"85,5","79,4","6,1"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,89,89,89,94,90,89,,,94,89,5


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,82,82,82,,,,,,82,82,0
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,83,83,84,,,,,,84,83,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"67,1","69,7","67,6","75,3","65,9",,,,"75,3","65,9","9,4"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"63,5","64,8","64,8","76,6",77,,,,77,"63,5","13,5"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,83,83,83,,,,,,83,83,0
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,79,79,84,,,,,,84,79,5


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"82,3","83,1","82,1","82,9","83,2",,,,"83,2","82,1","1,1"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"83,5","83,9","85,4","82,3","82,8",,,,"85,4","82,3","3,1"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"84,2","85,1","81,9","82,5","83,2",,,,"85,1","81,9","3,2"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"83,2","82,7","83,4","84,4","84,8",,,,"84,8","82,7","2,1"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"83,7",84,"78,1","83,4","82,4",,,,84,"78,1","5,9"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"83,5","82,3","83,7","84,1","83,2",,,,"84,1","82,3","1,8"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,83,"81,1","82,9","81,6","83,2",,,,"83,2","81,1","2,1"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,83,"84,9","84,2","82,3","83,8",,,,"84,9","82,3","2,6"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,89,89,89,91,94,89,,,94,89,5
