Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Зорянська БЕСС,УЗЕ-01,✓ OK,100.0,88.0,88.0,,,,,,88.0,88.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-02,✓ OK,100.0,83.0,88.0,,,,,,88.0,83.0,5.0
УЗЕ Зорянська БЕСС,УЗЕ-03,✓ OK,100.0,84.0,84.0,,,,,,84.0,84.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-04,✓ OK,100.0,84.0,84.0,,,,,,84.0,84.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-06,✓ OK,100.0,84.0,84.0,,,,,,84.0,84.0,0.0
УЗЕ Зорянська БЕСС,УЗЕ-07,✓ OK,100.0,100.0,72.0,,,,,,100.0,72.0,28.0
УЗЕ Зорянська БЕСС,УЗЕ-08,✓ OK,100.0,59.0,84.0,,,,,,84.0,59.0,25.0
УЗЕ Зорянська БЕСС,УЗЕ-09,✓ OK,100.0,87.0,88.0,,,,,,88.0,87.0,1.0
УЗЕ Зорянська БЕСС,УЗЕ-10,✓ OK,100.0,91.0,92.0,,,,,,92.0,91.0,1.0
УЗЕ Зорянська БЕСС,PCS-5,✓ OK,82.0,82.0,83.0,82.0,80.0,,,,83.0,80.0,3.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Бар БЕСС,PCS-1.1,✓ OK,86.9,84.8,87.3,86.3,85.7,,,,87.3,84.8,2.5
УЗЕ Бар БЕСС,PCS-2.1,✓ OK,86.4,86.1,85.5,87.9,84.6,,,,87.9,84.6,3.3
УЗЕ Бар БЕСС,PCS-2.2,✓ OK,86.5,86.5,86.5,84.1,86.8,,,,86.8,84.1,2.7
УЗЕ Бар БЕСС,PCS-1.2,✓ OK,86.4,86.4,86.4,86.4,86.8,,,,86.8,86.4,0.4
УЗЕ Бар БЕСС,PCS-3.1,✓ OK,85.4,85.3,86.6,86.0,87.2,,,,87.2,85.3,1.9
УЗЕ Бар БЕСС,PCS-3.2,✓ OK,86.4,84.5,86.0,87.2,87.7,,,,87.7,84.5,3.2
УЗЕ Бар БЕСС,PCS-4.1,✓ OK,86.5,87.3,84.5,86.4,87.1,,,,87.3,84.5,2.8
УЗЕ Бар БЕСС,PCS-4.2,✓ OK,85.2,86.1,85.2,87.3,87.6,,,,87.6,85.2,2.4
