Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,70,"68,8","70,4","70,1","69,7",,,,"70,4","68,8","1,6"
УЗЕ Бар БЕСС,1.2,✓ OK,"67,9","66,8","67,6",69,"69,8",,,,"69,8","66,8",3
УЗЕ Бар БЕСС,2.1,✓ OK,"67,6","66,9","68,1","69,2","66,3",,,,"69,2","66,3","2,9"
УЗЕ Бар БЕСС,2.2,✓ OK,"70,6","69,9","69,2","67,3","70,5",,,,"70,6","67,3","3,3"
УЗЕ Бар БЕСС,3.1,✓ OK,"67,6","67,4","69,5","67,3","70,5",,,,"70,5","67,3","3,2"
УЗЕ Бар БЕСС,3.2,✓ OK,"70,2","69,2","69,2","69,8","69,9",,,,"70,2","69,2",1
УЗЕ Бар БЕСС,4.1,✓ OK,"69,4","70,3","67,1","68,6","69,8",,,,"70,3","67,1","3,2"
УЗЕ Бар БЕСС,4.2,✓ OK,67,"67,8","66,4","69,1","69,1",,,,"69,1","66,4","2,7"
УЗЕ Бар БЕСС,5.1,✓ OK,"70,5","70,7",68,"69,8","69,5",,,,"70,7",68,"2,7"
УЗЕ Бар БЕСС,5.2,✓ OK,"67,4","68,2",69,"73,4","67,1",,,,"73,4","67,1","6,3"
УЗЕ Бар БЕСС,6.1,✓ OK,"69,4","67,6","70,3",70,"69,4",,,,"70,3","67,6","2,7"
УЗЕ Бар БЕСС,6.2,✓ OK,"68,4","69,4","68,6","69,9","69,8",,,,"69,9","68,4","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"68,8","69,7","70,4",69,"68,7",,,,"70,4","68,7","1,7"
УЗЕ Бар БЕСС,7.2,✓ OK,"70,5","70,4","70,3","69,2","68,2",,,,"70,5","68,2","2,3"
УЗЕ Бар БЕСС,8.1,✓ OK,"66,4","67,2",67,"68,6","66,2",,,,"68,6","66,2","2,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"68,2","68,1","68,7","68,6",65,,,,"68,7",65,"3,7"
УЗЕ Бар БЕСС,9.1,✓ OK,"66,2","69,6","68,8","69,6","68,9",,,,"69,6","66,2","3,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"70,1","70,3","70,5",71,"69,3",,,,71,"69,3","1,7"
УЗЕ Бар БЕСС,10.1,✓ OK,88,87,87,,,,,,88,87,1
УЗЕ Бар БЕСС,10.2,✓ OK,88,87,88,,,,,,88,87,1
УЗЕ Бар БЕСС,11.1,✓ OK,83,87,88,,,,,,88,83,5
УЗЕ Бар БЕСС,11.2,✓ OK,88,88,86,,,,,,88,86,2
УЗЕ Бар БЕСС,12.1,✓ OK,86,87,88,,,,,,88,86,2
УЗЕ Бар БЕСС,12.2,✓ OK,88,88,87,,,,,,88,87,1
УЗЕ Бар БЕСС,13.1,✓ OK,87,88,88,,,,,,88,87,1
УЗЕ Бар БЕСС,13.2,✓ OK,88,88,87,,,,,,88,87,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"70,1",72,"70,9","70,1","70,1",,,,72,"70,1","1,9"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"68,5","70,6","66,9","68,6","68,4",,,,"70,6","66,9","3,7"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"69,1","67,7","68,9","69,6","68,9",,,,"69,6","67,7","1,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"70,8","69,3","70,8",69,"69,2",,,,"70,8",69,"1,8"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"74,9","70,1","67,6",69,67,,,,"74,9",67,"7,9"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"70,6","68,4","69,4","70,2","70,1",,,,"70,6","68,4","2,2"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"71,4","70,6","71,3","71,3","70,9",,,,"71,4","70,6","0,8"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"70,9","70,6","71,4","71,4",71,,,,"71,4","70,6","0,8"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"70,7","70,7","71,1","70,7","70,7",,,,"71,1","70,7","0,4"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"70,4","70,2","70,3","70,1","70,1",,,,"70,4","70,1","0,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"71,4",71,"70,6","71,4","70,8",,,,"71,4","70,6","0,8"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"69,7","69,4","69,4","69,3","69,8",,,,"69,8","69,3","0,5"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,✓ OK,100,59,59,,,,,,59,59,0
УЗЕ Зорянська БЕСС,1. УЗЕ-5,✓ OK,19,21,19,18,20,18,,,21,18,3
УЗЕ Зорянська БЕСС,1. УЗЕ-7,✓ OK,100,98,60,,,,,,98,60,38
УЗЕ Зорянська БЕСС,1. УЗЕ-9,✓ OK,100,67,72,,,,,,72,67,5
УЗЕ Зорянська БЕСС,1. УЗЕ-10,✓ OK,100,59,59,,,,,,59,59,0
УЗЕ Зорянська БЕСС,2. УЗЕ-1,✓ OK,100,53,52,,,,,,53,52,1
УЗЕ Зорянська БЕСС,2. УЗЕ-3,✓ OK,100,54,53,,,,,,54,53,1
УЗЕ Зорянська БЕСС,2. УЗЕ-4,✓ OK,100,54,53,,,,,,54,53,1
УЗЕ Зорянська БЕСС,2. УЗЕ-6,✓ OK,100,53,54,,,,,,54,53,1
УЗЕ Зорянська БЕСС,2. УЗЕ-8,✓ OK,100,38,57,,,,,,57,38,19


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,88,88,88,87,88,87,,,88,87,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"66,7","64,1","65,2",66,66,,,,"66,7","64,1","2,6"
