Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"83,2","83,2","83,3","83,2","82,8",,,,"83,3","82,8","0,5"
УЗЕ Бар БЕСС,1.2,✓ OK,"81,4","81,3","81,5","82,1","82,5",,,,"82,5","81,3","1,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,1","82,1","82,1","82,6","81,8",,,,"82,6","81,8","0,8"
УЗЕ Бар БЕСС,2.2,✓ OK,"83,7","83,3","83,4","82,9","83,5",,,,"83,7","82,9","0,8"
УЗЕ Бар БЕСС,3.1,✓ OK,"82,2","82,4","82,7","82,1","82,7",,,,"82,7","82,1","0,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,3","83,3",83,"83,3","83,2",,,,"83,3",83,"0,3"
УЗЕ Бар БЕСС,4.1,✓ OK,"83,4","83,4","82,7","83,2","83,1",,,,"83,4","82,7","0,7"
УЗЕ Бар БЕСС,4.2,✓ OK,82,"82,3","81,9",83,"82,7",,,,83,"81,9","1,1"
УЗЕ Бар БЕСС,5.1,✓ OK,"83,8","83,8","83,4","83,8","83,4",,,,"83,8","83,4","0,4"
УЗЕ Бар БЕСС,5.2,✓ OK,83,"83,2","83,6","84,4","83,5",,,,"84,4",83,"1,4"
УЗЕ Бар БЕСС,6.1,✓ OK,"83,6","82,5","83,4",83,"82,8",,,,"83,6","82,5","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"81,4","81,9","81,8","82,2","82,5",,,,"82,5","81,4","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,2","83,5","83,4","83,4","83,1",,,,"83,5","83,1","0,4"
УЗЕ Бар БЕСС,7.2,✓ OK,"83,7","83,5","83,5","82,8","82,9",,,,"83,7","82,8","0,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"81,7","82,1","81,9","81,9","81,2",,,,"82,1","81,2","0,9"
УЗЕ Бар БЕСС,8.2,✓ OK,82,82,"81,9","82,2","80,9",,,,"82,2","80,9","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,2","81,6","81,8","81,8","81,7",,,,"81,8","81,2","0,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"83,6",84,84,"84,1","83,8",,,,"84,1","83,6","0,5"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,21,21,21,,,,,,21,21,0
УЗЕ Бар БЕСС,11.2,✓ OK,21,21,21,,,,,,21,21,0
УЗЕ Бар БЕСС,12.1,✓ OK,23,21,21,,,,,,23,21,2
УЗЕ Бар БЕСС,12.2,✓ OK,21,22,21,,,,,,22,21,1
УЗЕ Бар БЕСС,13.1,✓ OK,23,23,21,,,,,,23,21,2
УЗЕ Бар БЕСС,13.2,✓ OK,21,21,22,,,,,,22,21,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,6",87,"86,6","86,6","86,2",,,,87,"86,2","0,8"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"86,2","86,2","85,8","86,6","86,2",,,,"86,6","85,8","0,8"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,6","86,2","86,2","86,6","86,2",,,,"86,6","86,2","0,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"86,6","86,6","86,6","86,6","86,2",,,,"86,6","86,2","0,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,4","88,4","88,1",88,88,,,,"88,4",88,"0,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"86,9","86,9","86,9","87,3","86,9",,,,"87,3","86,9","0,4"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"87,1","83,4","85,4","86,4","82,1",,,,"87,1","82,1",5
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"84,1","81,4","87,2","85,9","85,9",,,,"87,2","81,4","5,8"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"85,2","83,6","87,3","83,9","85,3",,,,"87,3","83,6","3,7"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"83,3","84,5","82,4",83,"84,7",,,,"84,7","82,4","2,3"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"86,1","83,5","82,9","88,7","82,7",,,,"88,7","82,7",6
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"84,4",84,"82,3","81,6","84,5",,,,"84,5","81,6","2,9"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,93,93,93,93,93,93,,,93,93,0
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"81,1","80,7","81,1","80,7","81,1",,,,"81,1","80,7","0,4"
