Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"91,6","87,6","92,4","91,9","90,5",,,,"92,4","87,6","4,8"
УЗЕ Бар БЕСС,1.2,✓ OK,"88,6","85,7","87,9",91,"92,3",,,,"92,3","85,7","6,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"89,2","87,8","89,4","93,1","86,2",,,,"93,1","86,2","6,9"
УЗЕ Бар БЕСС,2.2,✓ OK,"92,8","90,8","90,1","86,6","92,2",,,,"92,8","86,6","6,2"
УЗЕ Бар БЕСС,3.1,✓ OK,88,"87,6","89,9","88,2","92,4",,,,"92,4","87,6","4,8"
УЗЕ Бар БЕСС,3.2,✓ OK,"90,7",90,"90,7","91,2","91,7",,,,"91,7",90,"1,7"
УЗЕ Бар БЕСС,4.1,✓ OK,"91,4","93,9","86,7",89,"92,7",,,,"93,9","86,7","7,2"
УЗЕ Бар БЕСС,4.2,✓ OK,88,91,"87,3","92,3","93,1",,,,"93,1","87,3","5,8"
УЗЕ Бар БЕСС,5.1,✓ OK,93,"92,9","87,2","90,7","90,5",,,,93,"87,2","5,8"
УЗЕ Бар БЕСС,5.2,✓ OK,"86,4","89,2","89,9","95,4","86,4",,,,"95,4","86,4",9
УЗЕ Бар БЕСС,6.1,✓ OK,"88,8","87,9","92,1",92,"90,4",,,,"92,1","87,9","4,2"
УЗЕ Бар БЕСС,6.2,✓ OK,"89,2","91,1","88,4","91,4","92,3",,,,"92,3","88,4","3,9"
УЗЕ Бар БЕСС,7.1,✓ OK,"89,9","91,4","92,8","90,5","88,8",,,,"92,8","88,8",4
УЗЕ Бар БЕСС,7.2,✓ OK,"91,9","92,3","92,1",90,"87,3",,,,"92,3","87,3",5
УЗЕ Бар БЕСС,8.1,✓ OK,"87,4","88,9","89,3","92,4",87,,,,"92,4",87,"5,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"89,7","90,1","91,1","90,9","83,6",,,,"91,1","83,6","7,5"
УЗЕ Бар БЕСС,9.1,✓ OK,"84,1","91,4","88,8",91,"89,2",,,,"91,4","84,1","7,3"
УЗЕ Бар БЕСС,9.2,✓ OK,"90,6","91,8",91,93,"88,9",,,,93,"88,9","4,1"
УЗЕ Бар БЕСС,10.1,✓ OK,62,62,63,,,,,,63,62,1
УЗЕ Бар БЕСС,10.2,✓ OK,63,62,62,,,,,,63,62,1
УЗЕ Бар БЕСС,11.1,✓ OK,27,28,29,,,,,,29,27,2
УЗЕ Бар БЕСС,11.2,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,12.1,✓ OK,27,28,28,,,,,,28,27,1
УЗЕ Бар БЕСС,12.2,✓ OK,27,27,27,,,,,,27,27,0
УЗЕ Бар БЕСС,13.1,✓ OK,29,27,28,,,,,,29,27,2
