Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"88,1","87,4","88,5","88,4",88,,,,"88,5","87,4","1,1"
УЗЕ Бар БЕСС,1.2,✓ OK,"85,9","85,2",86,"86,8","87,4",,,,"87,4","85,2","2,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"86,7","86,1","86,8","87,6","85,7",,,,"87,6","85,7","1,9"
УЗЕ Бар БЕСС,2.2,✓ OK,"88,2","87,9","87,8","86,1","88,2",,,,"88,2","86,1","2,1"
УЗЕ Бар БЕСС,3.1,✓ OK,"86,1",86,"86,9","85,9","87,2",,,,"87,2","85,9","1,3"
УЗЕ Бар БЕСС,3.2,✓ OK,88,"87,7","87,9","88,2","88,3",,,,"88,3","87,7","0,6"
УЗЕ Бар БЕСС,4.1,✓ OK,"87,9","88,6","86,4","87,4","88,1",,,,"88,6","86,4","2,2"
УЗЕ Бар БЕСС,4.2,✓ OK,"85,9","86,3","85,5","87,3","87,5",,,,"87,5","85,5",2
УЗЕ Бар БЕСС,5.1,✓ OK,"88,5","88,7","86,4",88,"87,6",,,,"88,7","86,4","2,3"
УЗЕ Бар БЕСС,5.2,✓ OK,"86,3","87,2","87,6","90,3","86,7",,,,"90,3","86,3",4
УЗЕ Бар БЕСС,6.1,✓ OK,"87,9",87,"88,8","88,1",88,,,,"88,8",87,"1,8"
УЗЕ Бар БЕСС,6.2,✓ OK,86,"86,9","85,9","87,2","87,4",,,,"87,4","85,9","1,5"
УЗЕ Бар БЕСС,7.1,✓ OK,"87,2","87,7","88,3","87,4","87,4",,,,"88,3","87,2","1,1"
УЗЕ Бар БЕСС,7.2,✓ OK,"88,7","88,5","88,3","87,6","86,9",,,,"88,7","86,9","1,8"
УЗЕ Бар БЕСС,8.1,✓ OK,"85,6","86,2",86,"86,7","85,2",,,,"86,7","85,2","1,5"
УЗЕ Бар БЕСС,8.2,✓ OK,"86,4","86,4","86,6","86,6","84,2",,,,"86,6","84,2","2,4"
УЗЕ Бар БЕСС,9.1,✓ OK,"85,3","86,9","86,4","86,9","86,6",,,,"86,9","85,3","1,6"
УЗЕ Бар БЕСС,9.2,✓ OK,"88,1","88,5","88,5","88,7","87,8",,,,"88,7","87,8","0,9"
УЗЕ Бар БЕСС,10.1,✓ OK,29,28,29,,,,,,29,28,1
УЗЕ Бар БЕСС,10.2,✓ OK,32,28,32,,,,,,32,28,4
УЗЕ Бар БЕСС,11.1,✓ OK,28,29,30,,,,,,30,28,2
УЗЕ Бар БЕСС,11.2,✓ OK,29,29,28,,,,,,29,28,1
УЗЕ Бар БЕСС,12.1,✓ OK,28,28,28,,,,,,28,28,0
УЗЕ Бар БЕСС,12.2,✓ OK,28,29,28,,,,,,29,28,1
УЗЕ Бар БЕСС,13.1,✓ OK,28,28,28,,,,,,28,28,0
УЗЕ Бар БЕСС,13.2,✓ OK,28,28,28,,,,,,28,28,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"89,9",91,"89,8","89,9","89,5",,,,91,"89,5","1,5"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"89,6","90,6","88,7","89,8","89,4",,,,"90,6","88,7","1,9"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"89,9","89,1","89,7","90,3","89,6",,,,"90,3","89,1","1,2"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"90,2","89,4","90,3","89,1","89,3",,,,"90,3","89,1","1,2"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"88,2","93,5","91,6","92,7","91,5",,,,"93,5","88,2","5,3"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,90,"88,9","89,9","90,3","90,2",,,,"90,3","88,9","1,4"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"92,7","88,8","90,8","91,6","86,3",,,,"92,7","86,3","6,4"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"88,7","85,2","92,6","91,2","91,5",,,,"92,6","85,2","7,4"
УЗЕ Знаменська БЕСС,PCS-2.1,✓ OK,"90,1","87,6","92,3","87,9",90,,,,"92,3","87,6","4,7"
УЗЕ Знаменська БЕСС,PCS-2.2,✓ OK,"88,7","90,3","87,5","88,4","90,9",,,,"90,9","87,5","3,4"
УЗЕ Знаменська БЕСС,PCS-3.1,✓ OK,"92,1","88,8","87,9",96,"87,7",,,,96,"87,7","8,3"
УЗЕ Знаменська БЕСС,PCS-3.2,✓ OK,"90,4","89,6","87,5","86,2","90,2",,,,"90,4","86,2","4,2"


УЗЕ Зорянська БЕСС,1. УЗЕ-2,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,1. УЗЕ-5,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,1. УЗЕ-7,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,1. УЗЕ-9,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,1. УЗЕ-10,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,2. УЗЕ-1,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,2. УЗЕ-3,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,2. УЗЕ-4,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,2. УЗЕ-6,❌ ERROR,N/A
УЗЕ Зорянська БЕСС,2. УЗЕ-8,❌ ERROR,N/A


УЗЕ Новомиргородська БЕСС,PCS-1.1,✓ OK,94,93,93,93,93,93,,,94,93,1
УЗЕ Новомиргородська БЕСС,PCS-2.1,✓ OK,"83,1","82,3","82,7","82,7","83,1",,,,"83,1","82,3","0,8"
УЗЕ Новомиргородська БЕСС,PCS-2.2,✓ OK,82,"82,4","81,9","81,6","81,9",,,,"82,4","81,6","0,8"
УЗЕ Новомиргородська БЕСС,PCS-3.1,✓ OK,"81,9","82,3","81,9","81,9","81,9",,,,"82,3","81,9","0,4"
УЗЕ Новомиргородська БЕСС,PCS-3.2,✓ OK,"81,2","81,5","81,2","81,9","81,1",,,,"81,9","81,1","0,8"


УЗЕ Олександрійська БЕСС,PCS-1.1,✓ OK,"84,9","84,5","84,8","84,5","84,9",,,,"84,9","84,5","0,4"
УЗЕ Олександрійська БЕСС,PCS-1.2,✓ OK,"84,9","84,5","84,1","85,3","84,1",,,,"85,3","84,1","1,2"
УЗЕ Олександрійська БЕСС,PCS-2.1,✓ OK,"84,4","84,4","83,2","84,4","84,4",,,,"84,4","83,2","1,2"
УЗЕ Олександрійська БЕСС,PCS-2.2,✓ OK,"83,7","84,9","85,3","85,3","84,1",,,,"85,3","83,7","1,6"
УЗЕ Олександрійська БЕСС,PCS-3.1,✓ OK,"85,7","85,3","84,9","84,9","84,9",,,,"85,7","84,9","0,8"
УЗЕ Олександрійська БЕСС,PCS-3.2,✓ OK,"85,7","84,5","86,1","85,3","85,3",,,,"86,1","84,5","1,6"
УЗЕ Олександрійська БЕСС,PCS-4.1,✓ OK,94,95,94,95,94,94,,,95,94,1


УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,90,89,90,,,,,,90,89,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,89,90,90,,,,,,90,89,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,"82,4","83,6",83,"84,5","81,7",,,,"84,5","81,7","2,8"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"80,5","81,5","81,4","86,3","86,2",,,,"86,3","80,5","5,8"
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,89,90,90,,,,,,90,89,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,90,89,90,,,,,,90,89,1


УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"84,2","84,5","83,7",84,"83,9",,,,"84,5","83,7","0,8"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"84,5","85,2","85,8","83,7","83,6",,,,"85,8","83,6","2,2"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"84,9","85,7","83,7",84,"84,6",,,,"85,7","83,7",2
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"85,6","84,9","85,6",86,"86,3",,,,"86,3","84,9","1,4"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"84,8","85,2","79,7","85,3","84,4",,,,"85,3","79,7","5,6"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"84,9","84,1",85,"85,5","84,5",,,,"85,5","84,1","1,4"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"84,5","82,8","84,5","83,6","84,8",,,,"84,8","82,8",2
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,85,"86,2","85,8","83,5","85,6",,,,"86,2","83,5","2,7"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,93,93,93,95,95,94,,,95,93,2
