Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"89,4","88,3","89,9","89,5","88,8",,,,"89,9","88,3","1,6"
УЗЕ Бар БЕСС,1.2,✓ OK,"87,4","86,6","87,3","88,3","88,7",,,,"88,7","86,6","2,1"
УЗЕ Бар БЕСС,2.1,✓ OK,"87,8",87,"87,8","88,6","86,6",,,,"88,6","86,6",2
УЗЕ Бар БЕСС,2.2,✓ OK,90,"89,1","88,8","87,6","89,7",,,,90,"87,6","2,4"
УЗЕ Бар БЕСС,3.1,✓ OK,"87,3","87,1","87,9","87,2","88,4",,,,"88,4","87,1","1,3"
УЗЕ Бар БЕСС,3.2,✓ OK,"89,1","88,5","89,1","89,4","89,4",,,,"89,4","88,5","0,9"
УЗЕ Бар БЕСС,4.1,✓ OK,"88,9","90,2","87,8","88,7","89,4",,,,"90,2","87,8","2,4"
УЗЕ Бар БЕСС,4.2,✓ OK,87,88,"86,6","88,6","88,6",,,,"88,6","86,6",2
УЗЕ Бар БЕСС,5.1,✓ OK,"89,8",90,88,"89,2","88,8",,,,90,88,2
УЗЕ Бар БЕСС,5.2,✓ OK,"86,8",88,"88,4","91,1","87,6",,,,"91,1","86,8","4,3"
УЗЕ Бар БЕСС,6.1,✓ OK,"88,6","87,7","89,4","88,9","88,6",,,,"89,4","87,7","1,7"
УЗЕ Бар БЕСС,6.2,✓ OK,"87,4","88,5","87,4","88,2","88,7",,,,"88,7","87,4","1,3"
УЗЕ Бар БЕСС,7.1,✓ OK,"88,6","89,5","89,9","88,8","88,4",,,,"89,9","88,4","1,5"
УЗЕ Бар БЕСС,7.2,✓ OK,"89,1","89,8","89,5",89,"88,3",,,,"89,8","88,3","1,5"
УЗЕ Бар БЕСС,8.1,✓ OK,87,"87,3","87,8","88,6",87,,,,"88,6",87,"1,6"
УЗЕ Бар БЕСС,8.2,✓ OK,"88,2",88,"88,2","88,2","85,7",,,,"88,2","85,7","2,5"
УЗЕ Бар БЕСС,9.1,✓ OK,"86,5","88,8","87,8","88,3","87,5",,,,"88,8","86,5","2,3"
УЗЕ Бар БЕСС,9.2,✓ OK,"89,2","89,5","89,4",90,"89,4",,,,90,"89,2","0,8"
УЗЕ Бар БЕСС,10.1,✓ OK,86,86,87,,,,,,87,86,1
УЗЕ Бар БЕСС,10.2,✓ OK,86,85,87,,,,,,87,85,2
УЗЕ Бар БЕСС,11.1,✓ OK,86,87,86,,,,,,87,86,1
УЗЕ Бар БЕСС,11.2,✓ OK,87,87,86,,,,,,87,86,1
УЗЕ Бар БЕСС,12.1,✓ OK,87,86,86,,,,,,87,86,1
УЗЕ Бар БЕСС,12.2,✓ OK,87,87,87,,,,,,87,87,0
УЗЕ Бар БЕСС,13.1,✓ OK,86,86,87,,,,,,87,86,1
УЗЕ Бар БЕСС,13.2,✓ OK,87,87,86,,,,,,87,86,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"86,5","86,5","86,9","86,9","86,5",,,,"86,9","86,5","0,4"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"87,4","87,4","87,4","87,4","87,4",,,,"87,4","87,4",0
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"86,6","85,6",86,87,"86,4",,,,87,"85,6","1,4"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,87,"86,6","86,6","86,6","86,6",,,,87,"86,6","0,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"86,5","86,5","86,5","86,5","86,1",,,,"86,5","86,1","0,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,1","88,1","87,7","87,7","88,1",,,,"88,1","87,7","0,4"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"76,8","77,2","76,7","76,7","76,7",,,,"77,2","76,7","0,5"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"75,7","75,3","75,7","75,3","75,3",,,,"75,7","75,3","0,4"
