Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,,,Макс,Мін,різниця
УЗЕ Салгани БЕСС,PCS-1.1,✓ OK,73,72,73,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-1.2,✓ OK,73,74,73,,,,,74,73,1
УЗЕ Салгани БЕСС,PCS-2.1,✓ OK,95,"98,3","96,5","99,2","93,8",,,"99,2","93,8","5,4"
УЗЕ Салгани БЕСС,PCS-2.2,✓ OK,"93,2","93,9","93,7","98,9","99,2",,,"99,2","93,2",6
УЗЕ Салгани БЕСС,PCS-3.1,✓ OK,72,73,72,,,,,73,72,1
УЗЕ Салгани БЕСС,PCS-3.2,✓ OK,73,72,73,,,,,73,72,1
,,,,,,,,,,,,
,,,,,,,,,,,,
УЗЕ Смолінська БЕСС,PCS-1.1,✓ OK,"83,5",86,"80,6","85,9","83,2",,,86,"80,6","5,4"
УЗЕ Смолінська БЕСС,PCS-1.2,✓ OK,"83,4","87,2","91,4","77,9","79,8",,,"91,4","77,9","13,5"
УЗЕ Смолінська БЕСС,PCS-2.1,✓ OK,"85,3","91,3","76,9","80,9",84,,,"91,3","76,9","14,4"
УЗЕ Смолінська БЕСС,PCS-2.2,✓ OK,"83,9","74,9","81,3","87,9",91,,,91,"74,9","16,1"
УЗЕ Смолінська БЕСС,PCS-3.1,✓ OK,"89,5","91,2","59,5","89,8","87,8",,,"91,2","59,5","31,7"
УЗЕ Смолінська БЕСС,PCS-3.2,✓ OK,"85,2","78,3","85,3","87,4","82,9",,,"87,4","78,3","9,1"
УЗЕ Смолінська БЕСС,PCS-4.1,✓ OK,"87,8","72,4","86,6","80,5","89,7",,,"89,7","72,4","17,3"
УЗЕ Смолінська БЕСС,PCS-4.2,✓ OK,"83,2","90,4","87,8","72,7","86,3",,,"90,4","72,7","17,7"
УЗЕ Смолінська БЕСС,PCS-5.1,✓ OK,91,91,90,93,93,,,93,90,3
