Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"70,2","69,4","70,4","69,8","69,6",,,,"70,4","69,4",1
УЗЕ Бар БЕСС,1.2,✓ OK,69,"68,2","68,5","69,1","69,5",,,,"69,5","68,2","1,3"
УЗЕ Бар БЕСС,2.1,✓ OK,"68,8","68,4","68,9","69,2","68,4",,,,"69,2","68,4","0,8"
УЗЕ Бар БЕСС,2.2,✓ OK,"69,9","69,7","69,7",69,"69,9",,,,"69,9",69,"0,9"
УЗЕ Бар БЕСС,3.1,✓ OK,"68,8","68,7","69,4","68,8","69,4",,,,"69,4","68,7","0,7"
УЗЕ Бар БЕСС,3.2,✓ OK,"70,5","70,3","70,4","70,4","70,4",,,,"70,5","70,3","0,2"
УЗЕ Бар БЕСС,4.1,✓ OK,"70,1","70,7","69,6",70,"70,3",,,,"70,7","69,6","1,1"
УЗЕ Бар БЕСС,4.2,✓ OK,"68,4","68,7","67,9","69,7","69,3",,,,"69,7","67,9","1,8"
УЗЕ Бар БЕСС,5.1,✓ OK,71,71,"70,1","70,3","70,4",,,,71,"70,1","0,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"68,4","68,8","69,3","70,8","68,8",,,,"70,8","68,4","2,4"
УЗЕ Бар БЕСС,6.1,✓ OK,"70,1","68,8","69,6","69,6","69,3",,,,"70,1","68,8","1,3"
УЗЕ Бар БЕСС,6.2,✓ OK,"68,9","69,3","68,9","69,3","69,5",,,,"69,5","68,9","0,6"
УЗЕ Бар БЕСС,7.1,✓ OK,"69,7","69,8","70,2","69,8","69,4",,,,"70,2","69,4","0,8"
УЗЕ Бар БЕСС,7.2,✓ OK,"70,2","70,5","70,2",70,"70,2",,,,"70,5",70,"0,5"
УЗЕ Бар БЕСС,8.1,✓ OK,"68,2","68,2","68,6",69,"68,2",,,,69,"68,2","0,8"
УЗЕ Бар БЕСС,8.2,✓ OK,"68,6","68,7",69,69,"67,7",,,,69,"67,7","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,68,"68,9","68,6","69,1","68,7",,,,"69,1",68,"1,1"
УЗЕ Бар БЕСС,9.2,✓ OK,"70,4","70,5","70,5","70,9","71,1",,,,"71,1","70,4","0,7"
УЗЕ Бар БЕСС,10.1,✓ OK,45,42,44,,,,,,45,42,3
УЗЕ Бар БЕСС,10.2,✓ OK,44,42,43,,,,,,44,42,2
УЗЕ Бар БЕСС,11.1,✓ OK,41,41,44,,,,,,44,41,3
УЗЕ Бар БЕСС,11.2,✓ OK,43,43,43,,,,,,43,43,0
УЗЕ Бар БЕСС,12.1,✓ OK,43,43,43,,,,,,43,43,0
УЗЕ Бар БЕСС,12.2,✓ OK,43,43,44,,,,,,44,43,1
УЗЕ Бар БЕСС,13.1,✓ OK,43,43,43,,,,,,43,43,0
УЗЕ Бар БЕСС,13.2,✓ OK,43,43,43,,,,,,43,43,0


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"78,9","82,5","79,9","78,2","79,2",,,,"82,5","78,2","4,3"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"79,1","81,2","75,9","78,3","78,6",,,,"81,2","75,9","5,3"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"79,3","78,3","78,8","79,4","78,6",,,,"79,4","78,3","1,1"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"81,4",78,"81,7","77,3","78,3",,,,"81,7","77,3","4,4"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"82,8","81,7","75,7","78,9","75,4",,,,"82,8","75,4","7,4"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"88,4","79,3",82,"82,4","82,7",,,,"88,4","79,3","9,1"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"82,3","79,1","81,1","81,6","77,8",,,,"82,3","77,8","4,5"
УЗЕ Знаменська БЕСС,PCS-1.2,✓ OK,"79,5","76,9","82,1","81,2","81,6",,,,"82,1","76,9","5,2"
