Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"87,9","86,7","88,7","87,9","87,9",,,,"88,7","86,7",2
УЗЕ Бар БЕСС,1.2,✓ OK,"86,3","84,7","85,9","87,6","88,3",,,,"88,3","84,7","3,6"
УЗЕ Бар БЕСС,2.1,✓ OK,"86,8","85,6","86,8","88,4",85,,,,"88,4",85,"3,4"
УЗЕ Бар БЕСС,2.2,✓ OK,"88,6","87,8","87,4","85,4","88,3",,,,"88,6","85,4","3,2"
УЗЕ Бар БЕСС,3.1,✓ OK,"86,3","86,1","87,6","85,8","88,4",,,,"88,4","85,8","2,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"88,1","87,7","87,7","88,5","88,5",,,,"88,5","87,7","0,8"
УЗЕ Бар БЕСС,4.1,✓ OK,"87,3","88,3","85,2","86,4","87,6",,,,"88,3","85,2","3,1"
УЗЕ Бар БЕСС,4.2,✓ OK,"85,6","86,7","85,1","88,1",88,,,,"88,1","85,1",3
УЗЕ Бар БЕСС,5.1,✓ OK,"89,4","89,6","86,5","88,3","88,1",,,,"89,6","86,5","3,1"
УЗЕ Бар БЕСС,5.2,✓ OK,85,"86,2","87,1","91,9","85,2",,,,"91,9",85,"6,9"
УЗЕ Бар БЕСС,6.1,✓ OK,"86,8","85,6","88,3","87,8","87,4",,,,"88,3","85,6","2,7"
УЗЕ Бар БЕСС,6.2,✓ OK,"86,3","87,6","86,2","87,9","88,3",,,,"88,3","86,2","2,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"86,7","87,6","88,4","86,8","86,5",,,,"88,4","86,5","1,9"
УЗЕ Бар БЕСС,7.2,✓ OK,"88,9","88,9","88,8","87,6",86,,,,"88,9",86,"2,9"
УЗЕ Бар БЕСС,8.1,✓ OK,"85,8","86,5","86,3",88,"85,6",,,,88,"85,6","2,4"
УЗЕ Бар БЕСС,8.2,✓ OK,"87,1","87,1","87,6","87,5","83,6",,,,"87,6","83,6",4
УЗЕ Бар БЕСС,9.1,✓ OK,"84,4","87,8","86,7","87,5","86,8",,,,"87,8","84,4","3,4"
УЗЕ Бар БЕСС,9.2,✓ OK,"88,1","88,4","88,6","89,2","87,3",,,,"89,2","87,3","1,9"
УЗЕ Бар БЕСС,10.1,✓ OK,40,38,40,,,,,,40,38,2
УЗЕ Бар БЕСС,10.2,✓ OK,40,37,39,,,,,,40,37,3
УЗЕ Бар БЕСС,11.1,✓ OK,36,38,41,,,,,,41,36,5
УЗЕ Бар БЕСС,11.2,✓ OK,38,38,36,,,,,,38,36,2
УЗЕ Бар БЕСС,12.1,✓ OK,37,37,38,,,,,,38,37,1
УЗЕ Бар БЕСС,12.2,✓ OK,37,38,36,,,,,,38,36,2
УЗЕ Бар БЕСС,13.1,✓ OK,37,37,36,,,,,,37,36,1
УЗЕ Бар БЕСС,13.2,✓ OK,38,37,37,,,,,,38,37,1


УЗЕ Драбівська БЕСС,PCS-1.1,✓ OK,"83,2","85,1","84,1","83,2","83,6",,,,"85,1","83,2","1,9"
УЗЕ Драбівська БЕСС,PCS-1.2,✓ OK,"83,2","85,3","81,6","83,3","83,1",,,,"85,3","81,6","3,7"
УЗЕ Драбівська БЕСС,PCS-2.1,✓ OK,"83,6","82,2",83,"84,1","83,4",,,,"84,1","82,2","1,9"
УЗЕ Драбівська БЕСС,PCS-2.2,✓ OK,"83,9","82,5",84,"81,8","82,4",,,,84,"81,8","2,2"
УЗЕ Драбівська БЕСС,PCS-3.1,✓ OK,"87,3","83,7","80,8","82,6","80,6",,,,"87,3","80,6","6,7"
УЗЕ Драбівська БЕСС,PCS-3.2,✓ OK,"85,9","83,1","84,6",85,"85,1",,,,"85,9","83,1","2,8"


УЗЕ Знаменська БЕСС,PCS-1.1,✓ OK,"83,8",83,"83,8","83,8","82,6",,,,"83,8","82,6","1,2"
