Станція,Назва інвертора,Статус,SoC 1,SoC 2,SoC 3,SoC 4,SoC 5,SoC 6,,,Макс,Мін,різниця
УЗЕ Бар БЕСС,1.1,✓ OK,"83,6","83,2","83,7","83,6","83,2",,,,"83,7","83,2","0,5"
УЗЕ Бар БЕСС,1.2,✓ OK,"81,8","81,7","81,9","82,5","82,9",,,,"82,9","81,7","1,2"
УЗЕ Бар БЕСС,2.1,✓ OK,"82,5","82,5","82,5",83,"82,3",,,,83,"82,3","0,7"
УЗЕ Бар БЕСС,2.2,✓ OK,"83,7","83,7","83,7","83,3","83,9",,,,"83,9","83,3","0,6"
УЗЕ Бар БЕСС,3.1,✓ OK,"82,6","82,8","83,1","82,5","83,1",,,,"83,1","82,5","0,6"
УЗЕ Бар БЕСС,3.2,✓ OK,"83,7","83,3",83,"83,7","83,6",,,,"83,7",83,"0,7"
УЗЕ Бар БЕСС,4.1,✓ OK,"83,8","83,8","83,1","83,6","83,6",,,,"83,8","83,1","0,7"
УЗЕ Бар БЕСС,4.2,✓ OK,"82,4","82,7","82,3","83,4","83,1",,,,"83,4","82,3","1,1"
УЗЕ Бар БЕСС,5.1,✓ OK,"84,2","84,3","83,4","83,8","83,8",,,,"84,3","83,4","0,9"
УЗЕ Бар БЕСС,5.2,✓ OK,"83,4","83,6","84,1","84,8","83,5",,,,"84,8","83,4","1,4"
УЗЕ Бар БЕСС,6.1,✓ OK,84,"82,9","83,8","83,4","83,2",,,,84,"82,9","1,1"
УЗЕ Бар БЕСС,6.2,✓ OK,"81,8","82,3","82,3","82,6","82,9",,,,"82,9","81,8","1,1"
УЗЕ Бар БЕСС,7.1,✓ OK,"83,3","83,9","83,8","83,4","83,5",,,,"83,9","83,3","0,6"
УЗЕ Бар БЕСС,7.2,✓ OK,"83,7","83,9","83,9","83,2","83,3",,,,"83,9","83,2","0,7"
УЗЕ Бар БЕСС,8.1,✓ OK,"82,1","82,1","82,3","82,3","81,6",,,,"82,3","81,6","0,7"
УЗЕ Бар БЕСС,8.2,✓ OK,"82,4","82,3","82,3","82,6","81,3",,,,"82,6","81,3","1,3"
УЗЕ Бар БЕСС,9.1,✓ OK,"81,6",82,"82,2","82,2","82,2",,,,"82,2","81,6","0,6"
УЗЕ Бар БЕСС,9.2,✓ OK,84,84,84,"84,1","84,2",,,,"84,2",84,"0,2"
УЗЕ Бар БЕСС,10.1,✓ OK,32,31,31,,,,,,32,31,1
УЗЕ Бар БЕСС,10.2,✓ OK,33,31,33,,,,,,33,31,2
УЗЕ Бар БЕСС,11.1,✓ OK,21,20,20,,,,,,21,20,1
УЗЕ Бар БЕСС,11.2,✓ OK,20,20,20,,,,,,20,20,0
УЗЕ Бар БЕСС,12.1,✓ OK,22,20,20,,,,,,22,20,2
УЗЕ Бар БЕСС,12.2,✓ OK,22,23,21,,,,,,23,21,2
УЗЕ Бар БЕСС,13.1,✓ OK,22,22,21,,,,,,22,21,1
